ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
010130,고려아연,1235000,2.4x,+10.8%,Effort vs Result,Effort vs Result,bullish
011200,HMM,21450,0.5x,+7.4%,No Supply,No Supply,bullish
267250,HD현대,226000,0.6x,+2.0%,No Supply,No Supply,bullish
018260,삼성에스디에스,222500,0.6x,+2.3%,No Supply,No Supply,bullish
047810,한국항공우주,154100,0.6x,+5.8%,No Supply,No Supply,bullish
003490,대한항공,26850,0.7x,+0.5%,No Supply,No Supply,bullish
078930,GS,97300,0.5x,+23.3%,No Supply,No Supply,bullish
161390,한국타이어앤테크놀로지,70000,0.5x,+2.1%,No Supply,No Supply,bullish
062040,산일전기,183800,2.6x,-7.6%,Effort vs Result,Effort vs Result,bullish
066970,엘앤에프,101000,2.3x,-5.4%,Effort vs Result,Effort vs Result,bullish
031210,서울보증보험,44250,0.6x,+3.3%,No Supply,No Supply,bullish
483650,달바글로벌,241500,0.5x,+10.6%,No Supply,No Supply + Testing,bullish
462870,시프트업,32400,0.6x,+0.6%,No Supply,No Supply,bullish
475150,SK이터닉스,51300,0.3x,+6.6%,No Supply,No Supply,bullish
069620,대웅제약,129500,0.4x,+5.5%,Testing,Testing,bullish
294870,IPARK현대산업개발,22750,0.5x,+16.4%,Testing,Testing,bullish
001120,LX인터내셔널,37650,0.5x,+0.2%,No Supply,No Supply + Testing,bullish
012630,HDC,22750,0.7x,+9.9%,No Supply,No Supply,bullish
082640,동양생명,8250,0.0x,+7.1%,Testing,Testing,bullish
280360,롯데웰푸드,130900,3.9x,+26.6%,Effort vs Result,Effort vs Result,bullish
000080,하이트진로,15710,0.6x,+2.4%,No Supply,No Supply,bullish
192400,쿠쿠홀딩스,26600,0.5x,+4.6%,No Supply,No Supply,bullish
006120,SK디스커버리,52600,0.4x,+6.8%,No Supply,No Supply + Testing,bullish
499790,GS피앤엘,42700,0.5x,+3.8%,No Supply,No Supply,bullish
071320,지역난방공사,72000,2.9x,+7.5%,Effort vs Result,Effort vs Result,bullish
317450,명인제약,48300,2.1x,+12.3%,Effort vs Result,Effort vs Result,bullish
