ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup
105560,KB금융,175100,161858,+8.2%,0.5x,7/7,Double Bottom,151500.0,149300.0,172000.0,+1.8%,KOSPI,,,
055550,신한지주,104500,99866,+4.6%,0.7x,7/7,Double Bottom,92600.0,91600.0,107500.0,-2.8%,KOSPI,,,
086790,하나금융지주,131600,121980,+7.9%,0.6x,7/7,Double Bottom,112400.0,109700.0,132000.0,-0.3%,KOSPI,,,
161390,한국타이어앤테크놀로지,72400,66632,+8.7%,0.6x,7/7,Double Bottom,59100.0,59900.0,73500.0,-1.5%,KOSPI,,,
121440,골프존홀딩스,6650,5277,+26.0%,0.7x,6/7,Pivot Setup,,,,,KOSDAQ,6710.0,-0.9%,0.6x avg
