ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
000660,SK하이닉스,1040000,929740,+11.9%,0.6x,7/7,Double Bottom,836000.0,807000.0,1056000.0,-1.5%,KOSPI,,,,,,,
105560,KB금융,156600,151424,+3.4%,0.8x,6/7,Double Bottom,137700.0,141900.0,155700.0,+0.6%,KOSPI,,,,,,,
055550,신한지주,98300,93626,+5.0%,0.5x,6/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+0.4%,KOSPI,99800.0,-1.5%,0.7x avg,,,,
086790,하나금융지주,120000,114286,+5.0%,0.8x,6/7,Double Bottom,105500.0,106000.0,114500.0,+4.8%,KOSPI,,,,,,,
005490,POSCO홀딩스,360000,358150,+0.5%,0.8x,6/7,Double Bottom,321500.0,325000.0,353500.0,+1.8%,KOSPI,,,,,,,
316140,우리금융지주,34150,33856,+0.9%,0.7x,6/7,Double Bottom,31550.0,31700.0,33900.0,+0.7%,KOSPI,,,,,,,
071050,한국금융지주,246000,230116,+6.9%,1.3x,6/7,Double Bottom,206500.0,202500.0,241000.0,+2.1%,KOSPI,,,,,,,
016360,삼성증권,105900,97670,+8.4%,0.8x,6/7,Double Bottom,88000.0,92400.0,102300.0,+3.5%,KOSPI,,,,,,,
001440,대한전선,32000,30407,+5.2%,1.6x,6/7,Double Bottom,26050.0,26700.0,30800.0,+3.9%,KOSPI,,,,,,,
000990,DB하이텍,96500,91582,+5.4%,0.7x,6/7,Double Bottom,77300.0,77900.0,95000.0,+1.6%,KOSPI,,,,,,,
103590,일진전기,83000,75602,+9.8%,1.7x,6/7,Double Bottom,72400.0,69500.0,82600.0,+0.5%,KOSPI,,,,,,,
012510,더존비즈온,119400,110136,+8.4%,0.2x,7/7,Pivot Setup,,,,,KOSPI,119800.0,-0.3%,0.2x avg,,,,
028670,팬오션,5430,5129,+5.9%,1.2x,6/7,Double Bottom,5000.0,4820.0,5330.0,+1.9%,KOSPI,,,,,,,
395400,SK리츠,6570,5932,+10.7%,1.3x,7/7,Pivot Setup,,,,,KOSPI,6540.0,+0.5%,0.8x avg,,,,
293940,신한알파리츠,6050,5786,+4.6%,2.1x,6/7,Double Bottom + Flat Base Breakout,5460.0,5640.0,5910.0,+2.4%,KOSPI,,,,5950.0,5.9%,+1.7%,False
000400,롯데손해보험,2140,2039,+4.9%,0.8x,6/7,Double Bottom,1918.0,2000.0,2150.0,-0.5%,KOSPI,,,,,,,
417310,코람코더원리츠,10150,9266,+9.5%,4.8x,7/7,Flat Base Breakout,,,,,KOSPI,,,,10050.0,10.4%,+1.0%,False
003720,삼영,7850,7264,+8.1%,1.3x,6/7,Double Bottom,6500.0,6760.0,7700.0,+1.9%,KOSPI,,,,,,,
025820,이구산업,5380,5258,+2.3%,2.1x,6/7,Double Bottom,4690.0,4685.0,5160.0,+4.3%,KOSPI,,,,,,,
007980,TP,1912,1900,+0.6%,1.8x,6/7,Double Bottom,1734.0,1755.0,1940.0,-1.4%,KOSPI,,,,,,,
012280,영화금속,1058,1023,+3.4%,0.8x,6/7,Double Bottom,1011.0,1001.0,1086.0,-2.6%,KOSPI,,,,,,,
353810,이지바이오,7550,7247,+4.2%,1.7x,6/7,Double Bottom,6600.0,6840.0,7220.0,+4.6%,KOSDAQ,,,,,,,
405100,큐알티,19580,17370,+12.7%,1.6x,6/7,Double Bottom,14340.0,14850.0,18800.0,+4.1%,KOSDAQ,,,,,,,
456010,아이씨티케이,15800,15636,+1.0%,2.1x,6/7,Double Bottom,12960.0,13350.0,15580.0,+1.4%,KOSDAQ,,,,,,,
289080,SV인베스트먼트,3630,3462,+4.8%,0.2x,7/7,Double Bottom,3065.0,3190.0,3660.0,-0.8%,KOSDAQ,,,,,,,
027710,팜스토리,1452,1286,+12.9%,2.1x,6/7,Flat Base Breakout,,,,,KOSDAQ,,,,1427.0,12.9%,+1.8%,False
095190,이엠코리아,2410,2332,+3.3%,0.9x,6/7,Double Bottom,2085.0,2175.0,2380.0,+1.3%,KOSDAQ,,,,,,,
020400,대동금속,8100,3940,+105.5%,1.2x,7/7,Pivot Setup,,,,,KOSDAQ,7927.0,+2.2%,0.5x avg,,,,
