ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
105560,KB금융,170700,0.6x,+3.7%,No Supply,No Supply,bullish
086790,하나금융지주,128600,0.6x,+4.3%,No Supply,No Supply,bullish
009830,한화솔루션,30150,2.2x,-8.2%,Effort vs Result,Effort vs Result,bullish
483650,달바글로벌,232000,0.6x,+7.3%,No Supply,No Supply,bullish
004370,농심,376500,0.6x,+3.5%,No Supply,No Supply,bullish
336260,두산퓨얼셀,34600,3.1x,-39.2%,Effort vs Result,Effort vs Result,bullish
103140,풍산,80700,2.9x,+17.3%,Effort vs Result,Effort vs Result,bullish
089860,롯데렌탈,39400,0.5x,+19.7%,No Supply,No Supply,bullish
009450,경동나비엔,68600,0.7x,+4.8%,No Supply,No Supply,bullish
030190,NICE평가정보,14360,0.4x,+2.0%,Testing,Testing,bullish
002960,한국쉘석유,499500,0.5x,+1.0%,Testing,Testing,bullish
317450,명인제약,43400,0.6x,+0.6%,No Supply,No Supply,bullish
003300,한일홀딩스,17660,0.3x,+5.2%,No Supply,No Supply + Testing,bullish
448730,삼성FN리츠,5530,0.5x,+2.7%,Testing,Testing,bullish
090435,아모레퍼시픽우,44750,0.5x,+16.5%,No Supply,No Supply + Testing,bullish
000070,삼양홀딩스,58300,0.5x,+4.3%,No Supply,No Supply,bullish
417310,코람코더원리츠,10750,1.7x,+6.1%,Stopping Volume,Stopping Volume,bullish
002810,삼영무역,23350,2.1x,+12.3%,Effort vs Result,Effort vs Result,bullish
357120,코람코라이프인프라리츠,4240,0.5x,+3.5%,Testing,Testing,bullish
072710,농심홀딩스,88300,1.7x,-1.5%,Stopping Volume,Stopping Volume,bullish
105630,한세실업,9210,0.5x,+4.2%,No Supply,No Supply + Testing,bullish
002990,금호건설,9770,0.7x,+21.4%,No Supply,No Supply,bullish
170900,동아에스티,37200,0.6x,+3.2%,No Supply,No Supply,bullish
126560,현대퓨처넷,3200,0.7x,+7.5%,No Supply,No Supply,bullish
104700,한국철강,9570,0.3x,+6.0%,Testing,Testing,bullish
026890,스틱인베스트먼트,7950,0.3x,+7.7%,No Supply,No Supply + Testing,bullish
123890,한국자산신탁,2310,0.4x,+3.2%,Testing,Testing,bullish
004430,송원산업,11560,0.7x,+3.8%,No Supply,No Supply,bullish
404990,신한서부티엔디리츠,4115,0.6x,+8.7%,No Supply,No Supply,bullish
010955,S-Oil우,61000,0.6x,+3.4%,No Supply,No Supply,bullish
001790,대한제당,2695,0.3x,+6.5%,No Supply,No Supply + Testing,bullish
044450,KSS해운,10040,0.4x,+3.7%,No Supply,No Supply + Testing,bullish
001130,대한제분,11480,0.4x,+1.8%,No Supply,No Supply + Testing,bullish
400760,NH올원리츠,2950,1.6x,-1.3%,Stopping Volume,Stopping Volume,bullish
003480,한진중공업홀딩스,4765,0.5x,+0.4%,Testing,Testing,bullish
094280,효성ITX,12130,0.3x,+0.9%,Testing,Testing,bullish
267290,경동도시가스,20150,0.3x,+1.3%,Testing,Testing,bullish
013570,디와이,4175,0.6x,+6.0%,No Supply,No Supply,bullish
248170,샘표식품,22800,0.2x,+0.9%,No Supply,No Supply + Testing,bullish
032560,황금에스티,5340,0.3x,+0.2%,Testing,Testing,bullish
006090,사조오양,8500,0.2x,+5.1%,Testing,Testing,bullish
019680,대교,976,2.1x,-2.7%,Effort vs Result,Effort vs Result,bullish
009180,한솔로지스틱스,2785,0.6x,+1.2%,No Supply,No Supply,bullish
009200,무림페이퍼,1527,0.4x,+4.8%,Testing,Testing,bullish
111110,호전실업,6640,0.3x,+0.7%,Testing,Testing,bullish
002760,보락,987,0.6x,+5.6%,No Supply,No Supply,bullish
010770,평화홀딩스,3790,2.3x,-5.9%,Stopping Volume,Stopping Volume,bullish
005305,롯데칠성우,70800,0.3x,+1.8%,No Supply,No Supply + Testing,bullish
000950,전방,31500,2.5x,+17.6%,Effort vs Result,Effort vs Result,bullish
001465,BYC우,23950,0.1x,+0.0%,No Supply,No Supply,bullish
006370,대구백화점,4685,0.2x,+0.1%,No Supply,No Supply,bullish
011420,갤럭시아에스엠,1460,0.4x,+1.2%,Testing,Testing,bullish
003680,한성기업,6440,0.1x,+8.3%,Testing,Testing,bullish
145270,케이탑리츠,819,0.2x,+6.1%,No Supply,No Supply + Testing,bullish
000215,DL우,22900,0.2x,+5.0%,No Supply,No Supply + Testing,bullish
012160,영흥,2455,0.1x,+22.1%,Testing,Testing,bullish
002870,신풍,994,0.6x,+4.1%,No Supply,No Supply,bullish
004365,세방우,9180,3.3x,-1.1%,Stopping Volume,Stopping Volume,bullish
001070,대한방직,6130,0.1x,+4.8%,No Supply,No Supply,bullish
010400,우진아이엔에스,4090,0.4x,+3.6%,No Supply,No Supply,bullish
071950,코아스,2100,2.7x,+6.0%,Effort vs Result,Effort vs Result,bullish
357430,마스턴프리미어리츠,895,0.3x,+34.2%,Testing,Testing,bullish
025890,한국주강,2405,3.1x,+12.9%,Effort vs Result,Effort vs Result,bullish
006740,블루산업개발,1052,0.0x,+0.6%,Testing,Testing,bullish
002360,SH에너지화학,1996,0.0x,+3.6%,Testing,Testing,bullish
011090,에넥스,1668,0.4x,+19.6%,No Supply,No Supply,bullish
00781K,코리아써키트2우B,12740,2.7x,-29.7%,Effort vs Result,Effort vs Result,bullish
001065,JW중외제약우,21700,0.1x,+2.2%,Testing,Testing,bullish
001525,동양우,8800,0.1x,+0.7%,Testing,Testing,bullish
032190,다우데이타,19250,0.6x,+3.0%,No Supply,No Supply,bullish
053800,안랩,56500,0.4x,+1.7%,Testing,Testing,bullish
079940,가비아,46500,0.2x,+32.4%,No Supply,No Supply + Testing,bullish
204620,글로벌텍스프리,5070,0.6x,+6.5%,No Supply,No Supply,bullish
069540,빛과전자,2890,2.1x,-0.5%,Effort vs Result,Effort vs Result,bullish
472850,폰드그룹,5430,2.1x,+28.8%,Effort vs Result,Effort vs Result,bullish
092460,한라IMS,17740,0.7x,+5.1%,No Supply,No Supply,bullish
051500,CJ프레시웨이,23250,0.4x,+1.8%,Testing,Testing,bullish
060720,KH바텍,10750,0.3x,+1.5%,No Supply,No Supply + Testing,bullish
206640,바디텍메드,11260,0.6x,+4.7%,No Supply,No Supply,bullish
194480,데브시스터즈,20150,0.5x,+24.2%,No Supply,No Supply,bullish
005710,대원산업,11530,0.5x,+8.4%,No Supply,No Supply + Testing,bullish
071200,인피니트헬스케어,9410,0.5x,+23.2%,No Supply,No Supply,bullish
024840,KBI메탈,4985,3.2x,+10.1%,Effort vs Result,Effort vs Result,bullish
264850,이랜시스,6530,5.8x,+31.5%,Effort vs Result,Effort vs Result,bullish
237880,클리오,10850,0.4x,+3.6%,No Supply,No Supply + Testing,bullish
176750,듀켐바이오,6560,0.5x,+3.9%,Testing,Testing,bullish
092130,이크레더블,14350,0.5x,+1.8%,Testing,Testing,bullish
080160,모두투어,8890,0.6x,+1.8%,No Supply,No Supply,bullish
179290,엠아이텍,4995,0.4x,+7.9%,Testing,Testing,bullish
051160,지어소프트,10000,4.1x,+34.5%,Effort vs Result,Effort vs Result,bullish
293780,압타바이오,5420,0.5x,+13.0%,No Supply,No Supply,bullish
080420,모다이노칩,1795,3.3x,+21.3%,Effort vs Result,Effort vs Result,bullish
023600,삼보판지,8610,0.2x,+0.7%,Testing,Testing,bullish
408920,메쎄이상,3155,0.6x,+5.8%,No Supply,No Supply,bullish
086890,이수앱지스,3330,0.3x,+0.3%,Testing,Testing,bullish
950190,고스트스튜디오,9630,0.6x,+5.3%,No Supply,No Supply,bullish
027710,팜스토리,1064,0.3x,+1.0%,No Supply,No Supply + Testing,bullish
038540,상상인,2040,0.6x,+1.6%,No Supply,No Supply,bullish
362320,청담글로벌,5020,0.3x,+13.0%,No Supply,No Supply + Testing,bullish
044340,위닉스,5800,0.4x,+39.9%,Testing,Testing,bullish
100700,세운메디칼,2340,0.4x,+3.5%,Testing,Testing,bullish
036220,오상헬스케어,6810,2.2x,+9.4%,Effort vs Result,Effort vs Result,bullish
086710,선진뷰티사이언스,7690,0.3x,+4.1%,Testing,Testing,bullish
099750,이지케어텍,6710,0.4x,+1.3%,No Supply,No Supply + Testing,bullish
078140,대봉엘에스,8140,0.5x,+2.2%,No Supply,No Supply,bullish
079650,서산,4410,0.4x,+19.2%,No Supply,No Supply,bullish
0015N0,아로마티카,6890,9.8x,+23.8%,Effort vs Result,Effort vs Result,bullish
017650,대림제지,9820,2.4x,+9.2%,Effort vs Result,Effort vs Result,bullish
019550,SBI인베스트먼트,1004,0.3x,+2.6%,No Supply,No Supply + Testing,bullish
214260,라파스,9090,0.3x,+11.9%,No Supply,No Supply,bullish
012700,리드코프,3030,0.4x,+4.2%,No Supply,No Supply + Testing,bullish
451250,삐아,7410,0.5x,+0.8%,Testing,Testing,bullish
061250,화일약품,8790,0.2x,+5.7%,No Supply,No Supply + Testing,bullish
208140,정다운,2235,0.3x,+0.4%,Testing,Testing,bullish
043610,KT지니뮤직,1247,2.0x,-11.7%,Stopping Volume,Stopping Volume,bullish
109860,동일금속,7350,0.2x,+0.0%,No Supply,No Supply + Testing,bullish
303360,프로티아,5020,0.4x,+15.8%,No Supply,No Supply + Testing,bullish
155650,와이엠씨,3165,2.6x,+2.6%,Effort vs Result,Effort vs Result,bullish
291650,압타머사이언스,950,0.0x,+4.7%,Testing,Testing,bullish
104540,코렌텍,4140,0.7x,+1.1%,No Supply,No Supply,bullish
219550,디와이디,1425,0.5x,+13.4%,No Supply,No Supply,bullish
950200,소마젠,2845,0.5x,+2.3%,No Supply,No Supply,bullish
314140,알피바이오,6190,0.4x,+12.1%,Testing,Testing,bullish
179900,유티아이,2665,2.2x,-69.4%,Effort vs Result,Effort vs Result,bullish
457600,벡트,3690,0.4x,+53.1%,Testing,Testing,bullish
043340,에쎈테크,958,2.6x,+18.2%,Effort vs Result,Effort vs Result,bullish
127710,아시아경제,1028,0.0x,+6.8%,No Supply,No Supply + Testing,bullish
376290,씨유테크,2540,0.1x,+1.0%,No Supply,No Supply + Testing,bullish
129890,앱코,933,0.4x,+0.1%,No Supply,No Supply,bullish
025880,케이씨피드,2530,0.2x,+0.6%,No Supply,No Supply,bullish
469750,아이비젼웍스,1137,6.2x,+31.0%,Effort vs Result,Effort vs Result,bullish
348080,큐라티스,2990,2.2x,-5.0%,Effort vs Result,Effort vs Result,bullish
363250,진시스템,4500,0.3x,+19.8%,No Supply,No Supply + Testing,bullish
026910,광진실업,4600,0.1x,+0.9%,No Supply,No Supply,bullish
186230,그린플러스,3285,2.5x,-0.4%,Effort vs Result,Effort vs Result,bullish
046390,삼화네트웍스,2060,0.2x,+14.9%,No Supply,No Supply + Testing,bullish
208860,다산디엠씨,995,2.5x,+4.6%,Effort vs Result,Effort vs Result,bullish
159910,에코글로우,3165,0.2x,+1.1%,Testing,Testing,bullish
091970,LSK아이로봇,4365,0.2x,+25.8%,No Supply,No Supply,bullish
045510,정원엔시스,1007,0.3x,+20.4%,No Supply,No Supply + Testing,bullish
131090,시큐브,3845,0.6x,+2.3%,No Supply,No Supply,bullish
053290,NE능률,1715,0.4x,+12.7%,No Supply,No Supply + Testing,bullish
079170,한창산업,5290,2.8x,+7.2%,Effort vs Result,Effort vs Result,bullish
068100,케이웨더,2295,0.4x,+0.5%,Testing,Testing,bullish
291230,엔피,588,0.0x,+10.8%,Testing,Testing,bullish
093380,풍강,2605,0.3x,+3.5%,No Supply,No Supply + Testing,bullish
367000,플래티어,3015,0.5x,+1.3%,No Supply,No Supply,bullish
054940,엑사이엔씨,760,0.0x,+11.0%,Testing,Testing,bullish
148780,비큐AI,3885,16.4x,+42.6%,Effort vs Result,Effort vs Result,bullish
053060,세동,1381,0.2x,+0.3%,Testing,Testing,bullish
085810,알티캐스트,1697,0.3x,+10.4%,No Supply,No Supply,bullish
134060,이퓨쳐,4955,0.2x,+8.6%,Testing,Testing,bullish
368970,오에스피,2315,0.2x,+9.5%,Testing,Testing,bullish
328380,솔트웨어,3425,0.6x,+19.9%,No Supply,No Supply,bullish
109670,씨싸이트,3980,2.4x,+11.2%,Effort vs Result,Effort vs Result,bullish
080530,코디,2065,2.3x,-15.0%,Stopping Volume,Stopping Volume,bullish
431190,케이쓰리아이,3045,3.6x,+20.0%,Effort vs Result,Effort vs Result,bullish
415380,스튜디오삼익,1925,0.2x,+6.1%,No Supply,No Supply,bullish
377330,이지트로닉스,2705,0.5x,+1.8%,No Supply,No Supply,bullish
032280,삼일,1313,0.4x,+5.8%,Testing,Testing,bullish
154040,다산솔루에타,983,9.6x,+24.4%,Effort vs Result,Effort vs Result,bullish
065060,지엔코,3480,0.5x,+8.1%,No Supply,No Supply,bullish
372800,아이티아이즈,2895,0.7x,+2.0%,No Supply,No Supply,bullish
115530,씨엔플러스,2550,3.4x,+32.1%,Effort vs Result,Effort vs Result,bullish
335870,윙스풋,1200,3.4x,-0.4%,Effort vs Result,Effort vs Result,bullish
048830,엔피케이,1029,0.4x,+12.2%,No Supply,No Supply + Testing,bullish
065690,파커스,1318,0.3x,+10.9%,No Supply,No Supply + Testing,bullish
045520,크린앤사이언스,2840,0.2x,+1.8%,Testing,Testing,bullish
115570,스타플렉스,2155,2.2x,-14.3%,Stopping Volume,Stopping Volume,bullish
208640,썸에이지,1154,0.5x,+12.4%,No Supply,No Supply,bullish
473050,유안타제15호스팩,2080,0.4x,+0.1%,Testing,Testing,bullish
009620,삼보산업,815,0.5x,+16.8%,No Supply,No Supply,bullish
240600,유진테크놀로지,1975,0.4x,+0.8%,Testing,Testing,bullish
478390,KB제29호스팩,2050,2.3x,+0.3%,Effort vs Result,Effort vs Result,bullish
471050,대신밸런스제17호스팩,2100,0.3x,+0.3%,Testing,Testing,bullish
0037T0,KB제32호스팩,1997,0.3x,+0.0%,Testing,Testing,bullish
482520,교보16호스팩,2050,5.8x,+1.0%,Effort vs Result,Effort vs Result,bullish
477470,미래에셋비전스팩5호,2060,2.9x,-0.9%,Stopping Volume,Stopping Volume,bullish
025870,신라에스지,2820,0.2x,+11.4%,No Supply,No Supply,bullish
472220,신영스팩10호,2100,2.3x,-0.4%,Stopping Volume,Stopping Volume,bullish
900120,씨엑스아이,787,1.5x,-36.3%,Stopping Volume,Stopping Volume,bullish
472230,에스케이증권제11호스팩,2085,1.5x,+0.5%,Stopping Volume,Stopping Volume,bullish
021045,대호특수강우,2410,0.3x,+1.6%,Testing,Testing,bullish
