ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
011070,LG이노텍,957000,0.6x,+15.3%,No Supply,No Supply,bullish
000500,가온전선,311500,0.6x,+2.6%,No Supply,No Supply,bullish
012510,더존비즈온,120000,0.1x,+0.2%,Testing,Testing,bullish
009420,한올바이오파마,58600,2.1x,+15.5%,Effort vs Result,Effort vs Result,bullish
001740,SK네트웍스,9530,0.3x,+9.9%,No Supply,No Supply + Testing,bullish
00680K,미래에셋증권2우B,13420,1.6x,-25.3%,Stopping Volume,Stopping Volume,bullish
281820,케이씨텍,81500,0.6x,+19.5%,No Supply,No Supply,bullish
001820,삼화콘덴서,136000,0.3x,+41.6%,No Supply,No Supply,bullish
003240,태광산업,825000,1.6x,-21.5%,Stopping Volume,Stopping Volume,bullish
037710,광주신세계,42900,12.6x,+16.5%,Effort vs Result,Effort vs Result,bullish
005430,한국공항,79800,0.4x,+13.2%,No Supply,No Supply,bullish
025560,미래산업,43000,0.4x,+59.6%,No Supply,No Supply,bullish
001790,대한제당,2500,5.6x,-7.8%,Effort vs Result,Effort vs Result,bullish
002990,금호건설,4845,4.4x,+5.0%,Effort vs Result,Effort vs Result,bullish
012200,계양전기,6250,4.3x,-13.0%,Effort vs Result,Effort vs Result,bullish
016880,웅진,1804,1.8x,-25.4%,Stopping Volume,Stopping Volume,bullish
020120,키다리스튜디오,3125,2.2x,-13.2%,Effort vs Result,Effort vs Result,bullish
008040,사조동아원,797,1.8x,-18.3%,Stopping Volume,Stopping Volume,bullish
001020,페이퍼코리아,2495,3.1x,-16.0%,Effort vs Result,Effort vs Result,bullish
009190,대양금속,1922,0.2x,+13.7%,No Supply,No Supply,bullish
002200,한국수출포장,2330,2.1x,-13.2%,Stopping Volume,Stopping Volume,bullish
000105,유한양행우,60600,2.1x,-16.9%,Effort vs Result,Effort vs Result,bullish
35320K,대덕전자1우,32300,0.3x,+0.1%,No Supply,No Supply,bullish
000950,전방,24650,3.7x,-16.9%,Effort vs Result,Effort vs Result,bullish
446070,유니드비티플러스,3120,2.4x,+12.9%,Effort vs Result,Effort vs Result,bullish
014130,한익스프레스,2125,2.5x,-16.1%,Effort vs Result,Effort vs Result,bullish
00781K,코리아써키트2우B,23200,0.2x,+22.2%,No Supply,No Supply + Testing,bullish
001795,대한제당우,2570,13.9x,+10.7%,Effort vs Result,Effort vs Result,bullish
004255,NPC우,2130,2.0x,-5.5%,Effort vs Result,Effort vs Result,bullish
001770,SHD,8490,5.0x,-43.0%,Effort vs Result,Effort vs Result,bullish
000325,노루홀딩스우,26550,1.8x,-9.2%,Stopping Volume,Stopping Volume,bullish
26490K,크라운제과우,7330,1.6x,-16.1%,Stopping Volume,Stopping Volume,bullish
002995,금호건설우,14890,4.8x,+5.5%,Effort vs Result,Effort vs Result,bullish
036930,주성엔지니어링,182400,0.4x,+11.8%,No Supply,No Supply + Testing,bullish
183300,코미코,94100,0.7x,+7.1%,No Supply,No Supply,bullish
241770,메카로,43700,0.3x,+9.6%,No Supply,No Supply,bullish
219130,타이거일렉,62800,0.4x,+13.3%,No Supply,No Supply,bullish
023410,유진기업,3505,4.6x,-6.3%,Effort vs Result,Effort vs Result,bullish
192440,슈피겐코리아,29300,0.4x,+0.9%,No Supply,No Supply,bullish
079650,서산,8120,0.0x,+331.0%,Testing,Testing,bullish
413630,씨피시스템,3520,7.0x,+4.9%,Effort vs Result,Effort vs Result,bullish
067900,와이엔텍,6730,7.6x,-1.9%,Effort vs Result,Effort vs Result,bullish
473980,노머스,10400,2.6x,-32.9%,Stopping Volume,Stopping Volume,bullish
095190,신화프리텍,1756,1.5x,-22.4%,Stopping Volume,Stopping Volume,bullish
111710,남화산업,4775,14.9x,+25.8%,Effort vs Result,Effort vs Result,bullish
066980,한성크린텍,1815,0.2x,+4.9%,Testing,Testing,bullish
035610,솔본,3425,5.2x,-3.6%,Effort vs Result,Effort vs Result,bullish
389030,지니너스,2265,1.5x,-44.0%,Stopping Volume,Stopping Volume,bullish
192410,오늘이엔엠,3500,1.8x,-42.1%,Stopping Volume,Stopping Volume,bullish
040420,정상제이엘에스,5610,1.7x,-3.8%,Stopping Volume,Stopping Volume,bullish
457370,한켐,10460,0.1x,+0.7%,No Supply,No Supply,bullish
419050,삼기에너지솔루션즈,1452,9.7x,-9.4%,Effort vs Result,Effort vs Result,bullish
037760,쎄니트,2430,2.0x,+1.7%,Stopping Volume,Stopping Volume,bullish
189330,씨이랩,8200,0.2x,+3.8%,Testing,Testing,bullish
900260,로스웰,1670,3.4x,+3.0%,Effort vs Result,Effort vs Result,bullish
251630,브이원텍,4615,4.8x,-14.2%,Effort vs Result,Effort vs Result,bullish
091590,남화토건,5980,2.5x,+48.9%,Effort vs Result,Effort vs Result,bullish
041460,한국전자인증,3510,2.7x,-7.5%,Effort vs Result,Effort vs Result,bullish
453860,에이에스텍,10270,2.4x,-19.5%,Effort vs Result,Effort vs Result,bullish
080010,이상네트웍스,6550,2.7x,-7.7%,Stopping Volume,Stopping Volume,bullish
006920,모헨즈,5570,5.3x,+28.3%,Effort vs Result,Effort vs Result,bullish
100660,서암기계공업,4420,5.1x,+9.8%,Effort vs Result,Effort vs Result,bullish
263690,디알젬,4875,1.9x,-9.4%,Stopping Volume,Stopping Volume,bullish
079000,와토스코리아,7440,4.0x,+10.4%,Effort vs Result,Effort vs Result,bullish
228340,동양파일,2410,10.0x,+22.3%,Effort vs Result,Effort vs Result,bullish
122350,삼기,1086,4.2x,-14.1%,Effort vs Result,Effort vs Result,bullish
049830,승일,6270,2.0x,-11.5%,Stopping Volume,Stopping Volume,bullish
064520,테크엘,1622,2.8x,-6.3%,Effort vs Result,Effort vs Result,bullish
198940,한주라이트메탈,1843,0.2x,+1.0%,No Supply,No Supply,bullish
159910,에코글로우,2995,1.8x,-15.3%,Stopping Volume,Stopping Volume,bullish
464580,닷밀,1522,7.0x,-19.4%,Effort vs Result,Effort vs Result,bullish
197140,디지캡,2100,0.3x,+7.1%,Testing,Testing,bullish
079170,한창산업,4475,3.6x,-25.6%,Effort vs Result,Effort vs Result,bullish
023770,플레이위드,2295,1.6x,-16.1%,Stopping Volume,Stopping Volume,bullish
225220,제놀루션,1030,8.7x,-39.5%,Stopping Volume,Stopping Volume,bullish
239340,이스트에이드,574,1.6x,-51.2%,Stopping Volume,Stopping Volume,bullish
481890,엔에이치스팩31호,2075,2.4x,-1.2%,Stopping Volume,Stopping Volume,bullish
0041L0,하나35호스팩,2015,2.3x,+0.4%,Effort vs Result,Effort vs Result,bullish
