ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
034020,두산에너빌리티,99300,0.5x,+1.2%,Testing,Testing,bullish
042700,한미반도체,276500,0.5x,+7.5%,No Supply,No Supply,bullish
028050,삼성E&A,49550,0.7x,+39.1%,No Supply,No Supply,bullish
062040,산일전기,172900,2.0x,+15.8%,Effort vs Result,Effort vs Result,bullish
450080,에코프로머티,71000,0.5x,+4.8%,No Supply,No Supply,bullish
353200,대덕전자,86000,0.6x,+24.2%,No Supply,No Supply,bullish
088350,한화생명,4650,0.4x,+0.9%,No Supply,No Supply,bullish
011170,롯데케미칼,88600,0.6x,+8.8%,No Supply,No Supply,bullish
012510,더존비즈온,119400,0.2x,+8.4%,No Supply,No Supply,bullish
017960,한국카본,50700,2.1x,+23.6%,Effort vs Result,Effort vs Result,bullish
483650,달바글로벌,188600,2.3x,+18.3%,Effort vs Result,Effort vs Result,bullish
475150,SK이터닉스,58900,0.3x,+55.1%,No Supply,No Supply + Testing,bullish
008770,호텔신라,48550,0.6x,+6.0%,No Supply,No Supply,bullish
007810,코리아써키트,79200,0.5x,+26.2%,Testing,Testing,bullish
007070,GS리테일,22050,0.4x,+4.0%,No Supply,No Supply + Testing,bullish
082640,동양생명,8750,0.5x,+9.3%,No Supply,No Supply,bullish
004000,롯데정밀화학,50700,0.5x,+2.4%,No Supply,No Supply + Testing,bullish
003240,태광산업,1159000,0.5x,+3.2%,No Supply,No Supply,bullish
051915,LG화학우,164800,0.7x,+3.3%,No Supply,No Supply,bullish
000670,영풍,59300,0.4x,+0.9%,No Supply,No Supply + Testing,bullish
009450,경동나비엔,69500,2.9x,+10.7%,Effort vs Result,Effort vs Result,bullish
006650,대한유화,151400,0.5x,+2.8%,No Supply,No Supply,bullish
001510,SK증권,1863,0.0x,+12.0%,Testing,Testing,bullish
456040,OCI,93100,0.4x,+8.1%,Testing,Testing,bullish
003280,흥아해운,3430,0.3x,+32.8%,No Supply,No Supply,bullish
090460,비에이치,22500,0.6x,+13.5%,No Supply,No Supply,bullish
217590,티엠씨,31450,2.1x,+77.5%,Effort vs Result,Effort vs Result,bullish
00104K,CJ4우(전환),173500,0.5x,+0.3%,Testing,Testing,bullish
293940,신한알파리츠,6050,2.0x,+4.6%,Effort vs Result,Effort vs Result,bullish
002840,미원상사,133500,2.2x,-4.8%,Stopping Volume,Stopping Volume,bullish
010820,퍼스텍,12000,3.5x,+73.5%,Effort vs Result,Effort vs Result,bullish
271940,일진하이솔루스,15940,0.3x,+1.4%,Testing,Testing,bullish
138490,코오롱ENP,15000,0.0x,+17.7%,Testing,Testing,bullish
005945,NH투자증권우,25100,0.4x,+0.1%,No Supply,No Supply,bullish
001200,유진투자증권,4835,0.4x,+1.4%,Testing,Testing,bullish
025860,남해화학,9390,8.8x,+20.8%,Effort vs Result,Effort vs Result,bullish
009290,광동제약,8200,0.4x,+0.6%,No Supply,No Supply,bullish
000157,두산2우B,446000,0.3x,+1.0%,No Supply,No Supply,bullish
018250,애경산업,14670,0.2x,+1.6%,No Supply,No Supply + Testing,bullish
034830,한국토지신탁,1492,0.5x,+0.9%,No Supply,No Supply,bullish
008350,남선알미늄,2865,3.0x,+93.5%,Effort vs Result,Effort vs Result,bullish
