ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
105560,KB금융,161700,153762,+5.2%,1.1x,7/7,VCP,25.2%,11.8%,7.8%,31% of initial,True,KOSPI,,,,,,,,,,,
055550,신한지주,98000,95294,+2.8%,1.2x,7/7,VCP + Double Bottom,24.3%,12.4%,5.4%,22% of initial,True,KOSPI,88500.0,87700.0,97900.0,+0.1%,,,,,,,
042660,한화오션,126100,128392,-1.8%,0.9x,6/7,Double Bottom,,,,,,KOSPI,118200.0,120100.0,128000.0,-1.5%,,,,,,,
010140,삼성중공업,31950,28941,+10.4%,1.1x,7/7,Double Bottom,,,,,,KOSPI,23500.0,24450.0,30850.0,+3.6%,,,,,,,
316140,우리금융지주,32850,33638,-2.3%,1.2x,6/7,Double Bottom,,,,,,KOSPI,31700.0,31850.0,33600.0,-2.2%,,,,,,,
000810,삼성화재,499000,476290,+4.8%,0.9x,6/7,Double Bottom,,,,,,KOSPI,440500.0,456000.0,490000.0,+1.8%,,,,,,,
005940,NH투자증권,36600,33659,+8.7%,0.8x,7/7,Double Bottom,,,,,,KOSPI,28800.0,29600.0,35600.0,+2.8%,,,,,,,
005387,현대차2우B,271500,257070,+5.6%,0.0x,6/7,Pivot Setup,,,,,,KOSPI,,,,,264000.0,+2.8%,0.8x avg,,,,
005385,현대차우,269000,257350,+4.5%,3.4x,7/7,Flat Base Breakout,,,,,,KOSPI,,,,,,,,266500.0,14.1%,+0.9%,False
271560,오리온,141200,133820,+5.5%,0.7x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+2.5%,,,,,,,
022100,포스코DX,35250,32965,+6.9%,1.0x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,+4.8%,,,,,,,
00680K,미래에셋증권2우B,22900,20581,+11.3%,0.0x,7/7,Double Bottom,,,,,,KOSPI,17942.0,18770.0,21900.0,+4.6%,,,,,,,
011210,현대위아,90500,83692,+8.1%,6.2x,7/7,Double Bottom,,,,,,KOSPI,78400.0,75000.0,91300.0,-0.9%,,,,,,,
012630,HDC,27800,26626,+4.4%,0.6x,6/7,Double Bottom,,,,,,KOSPI,26100.0,26900.0,27800.0,+0.0%,,,,,,,
200880,서연이화,14700,13998,+5.0%,3.1x,7/7,Double Bottom,,,,,,KOSPI,12600.0,12740.0,15100.0,-2.6%,,,,,,,
011500,한농화성,23300,22457,+3.8%,0.3x,7/7,Double Bottom,,,,,,KOSPI,19550.0,19350.0,23950.0,-2.7%,,,,,,,
006805,미래에셋증권우,24100,22503,+7.1%,0.7x,7/7,Double Bottom,,,,,,KOSPI,19563.0,20000.0,24688.0,-2.4%,,,,,,,
404990,신한서부티엔디리츠,4535,4411,+2.8%,0.6x,7/7,Double Bottom,,,,,,KOSPI,4135.0,4085.0,4540.0,-0.1%,,,,,,,
003610,방림,5500,5382,+2.2%,0.9x,6/7,Double Bottom,,,,,,KOSPI,4945.0,5100.0,5530.0,-0.5%,,,,,,,
317400,자이에스앤디,4565,4467,+2.2%,0.6x,7/7,Double Bottom,,,,,,KOSPI,4100.0,4035.0,4570.0,-0.1%,,,,,,,
004150,한솔홀딩스,3680,3341,+10.1%,15.1x,6/7,Flat Base Breakout,,,,,,KOSPI,,,,,,,,3495.0,9.2%,+5.3%,False
003475,유안타증권우,4850,4489,+8.0%,2.1x,7/7,Double Bottom,,,,,,KOSPI,4100.0,4090.0,4780.0,+1.5%,,,,,,,
012280,영화금속,1059,1058,+0.0%,0.5x,6/7,Double Bottom,,,,,,KOSPI,1011.0,1001.0,1086.0,-2.5%,,,,,,,
049800,우진플라임,2675,2677,-0.1%,0.2x,6/7,Double Bottom,,,,,,KOSPI,2325.0,2425.0,2645.0,+1.1%,,,,,,,
004105,태양금속우,3890,3969,-2.0%,0.5x,6/7,Double Bottom,,,,,,KOSPI,3735.0,3660.0,3915.0,-0.6%,,,,,,,
036930,주성엔지니어링,138900,80072,+73.5%,0.4x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,138900.0,+0.0%,0.4x avg,,,,
058610,에스피지,135300,120726,+12.1%,3.8x,7/7,Double Bottom,,,,,,KOSDAQ,108400.0,103500.0,135000.0,+0.2%,,,,,,,
131970,두산테스나,144900,96730,+49.8%,0.9x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,145400.0,-0.3%,0.7x avg,,,,
082920,비츠로셀,59000,38963,+51.4%,0.0x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,59900.0,-1.5%,0.5x avg,,,,
074600,원익QnC,39800,33999,+17.1%,0.7x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,40550.0,-1.8%,0.8x avg,,,,
041960,코미팜,9350,8790,+6.4%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,7900.0,7740.0,9610.0,-2.7%,,,,,,,
