ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup
105560,KB금융,160000,154330,+3.7%,0.9x,7/7,VCP,24.1%,16.4%,9.5%,40% of initial,True,KOSPI,,,,,,,
055550,신한지주,98200,95688,+2.6%,0.8x,7/7,Double Bottom,,,,,,KOSPI,88500.0,87700.0,97900.0,+0.3%,,,
001800,오리온홀딩스,25300,24462,+3.4%,0.3x,7/7,Double Bottom,,,,,,KOSPI,24000.0,23150.0,25850.0,-2.1%,,,
244920,에이플러스에셋,11610,10991,+5.6%,0.3x,7/7,Double Bottom,,,,,,KOSPI,10400.0,10030.0,11440.0,+1.5%,,,
002420,세기상사,6660,5571,+19.5%,12.1x,6/7,Double Bottom,,,,,,KOSPI,4975.0,5070.0,6400.0,+4.1%,,,
041830,인바디,47350,32533,+45.5%,0.9x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,47600.0,-0.5%,0.8x avg
092460,한라IMS,21500,17572,+22.4%,1.0x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,21600.0,-0.5%,0.6x avg
019010,베뉴지,5300,5119,+3.5%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,4880.0,4895.0,5140.0,+3.1%,,,
187790,나노,7280,4869,+49.5%,0.6x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,7260.0,+0.3%,0.7x avg
021080,에이티넘인베스트,3195,3179,+0.5%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,2810.0,2845.0,3115.0,+2.6%,,,
