ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,156000,153260,+1.8%,1.0x,7/7,VCP,25.3%,14.1%,10.0%,39% of initial,True,KOSPI,,,,,,,,,,,
055550,신한지주,96800,95152,+1.7%,1.3x,7/7,VCP + Double Bottom,24.6%,13.5%,8.1%,33% of initial,True,KOSPI,88500.0,87700.0,97900.0,-1.1%,,,,,,,
010140,삼성중공업,30150,29180,+3.3%,1.0x,7/7,Double Bottom,,,,,,KOSPI,23500.0,24450.0,30850.0,-2.3%,,,,,,,
033780,KT&G,189000,164826,+14.7%,2.5x,7/7,Flat Base Breakout,,,,,,KOSPI,,,,,186000.0,12.1%,+1.6%,False,,,
096770,SK이노베이션,126700,123408,+2.7%,0.9x,7/7,Double Bottom,,,,,,KOSPI,109000.0,105600.0,126500.0,+0.2%,,,,,,,
007660,이수페타시스,132500,124040,+6.8%,0.4x,7/7,Double Bottom,,,,,,KOSPI,98800.0,98000.0,129500.0,+2.3%,,,,,,,
271560,오리온,143200,134186,+6.7%,0.8x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+3.9%,,,,,,,
457190,이수스페셜티케미컬,108800,102956,+5.7%,0.6x,7/7,Double Bottom,,,,,,KOSPI,85000.0,84700.0,105100.0,+3.5%,,,,,,,
139130,iM금융지주,19280,17779,+8.4%,1.0x,7/7,VCP,31.9%,13.1%,8.2%,26% of initial,True,KOSPI,,,,,,,,,,,
001450,현대해상,32750,30503,+7.4%,3.8x,7/7,Double Bottom + Flat Base Breakout,,,,,,KOSPI,29200.0,29600.0,32150.0,+1.9%,31800.0,7.6%,+3.0%,False,,,
417310,코람코더원리츠,10110,9818,+3.0%,1.1x,7/7,VCP,17.3%,12.4%,5.6%,32% of initial,True,KOSPI,,,,,,,,,,,
007980,TP,2000,1954,+2.3%,0.8x,7/7,Double Bottom,,,,,,KOSPI,1734.0,1755.0,1940.0,+3.1%,,,,,,,
036830,솔브레인홀딩스,62200,57151,+8.8%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,43900.0,45400.0,62400.0,-0.3%,,,,,,,
222080,씨아이에스,14720,13845,+6.3%,0.3x,7/7,Double Bottom,,,,,,KOSDAQ,11180.0,11600.0,15100.0,-2.5%,,,,,,,
104830,원익머트리얼즈,49350,46466,+6.2%,1.0x,7/7,Double Bottom,,,,,,KOSDAQ,40600.0,39950.0,49000.0,+0.7%,,,,,,,
110990,디아이티,25750,22231,+15.8%,0.8x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,+4.9%,,,,,,,
114810,한솔아이원스,16000,15923,+0.5%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,12870.0,12730.0,15600.0,+2.6%,,,,,,,
086390,유니테스트,21050,18131,+16.1%,5.3x,7/7,Double Bottom,,,,,,KOSDAQ,15300.0,15270.0,20700.0,+1.7%,,,,,,,
092870,엑시콘,32400,31150,+4.0%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,24500.0,25100.0,31850.0,+1.7%,,,,,,,
298830,슈어소프트테크,7700,7319,+5.2%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,6300.0,6520.0,7580.0,+1.6%,,,,,,,
417840,저스템,17250,9038,+90.8%,1.3x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,,,,,17030.0,+1.3%,0.8x avg
049070,인탑스,19310,17850,+8.2%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,15380.0,15980.0,18660.0,+3.5%,,,,,,,
190510,나무가,22300,18354,+21.5%,16.4x,6/7,Flat Base Breakout,,,,,,KOSDAQ,,,,,19930.0,14.5%,+11.9%,False,,,
054210,이랜텍,11450,11019,+3.9%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,9590.0,9620.0,11540.0,-0.8%,,,,,,,
353810,이지바이오,7270,7385,-1.6%,0.8x,6/7,Double Bottom,,,,,,KOSDAQ,6600.0,6840.0,7220.0,+0.7%,,,,,,,
322180,LS티라유텍,8550,8070,+5.9%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,6890.0,6730.0,8380.0,+2.0%,,,,,,,
037070,파세코,8640,8739,-1.1%,1.6x,6/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,-1.1%,,,,,,,
001540,안국약품,10200,7983,+27.8%,93.5x,6/7,Flat Base Breakout,,,,,,KOSDAQ,,,,,8290.0,8.2%,+23.0%,False,,,
126640,화신정공,1921,1545,+24.3%,8.8x,7/7,Flat Base Breakout,,,,,,KOSDAQ,,,,,1714.0,12.8%,+12.1%,False,,,
119500,포메탈,4265,4131,+3.2%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,3845.0,3705.0,4370.0,-2.4%,,,,,,,
043590,웰킵스하이텍,795,684,+16.1%,0.0x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,,,,,795.0,+0.0%,0.0x avg
