ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup
086790,하나금융지주,126100,121106,+4.1%,0.7x,6/7,Double Bottom,114200.0,112400.0,123600.0,+2.0%,KOSPI,,,
417310,코람코더원리츠,10160,10087,+0.7%,0.8x,6/7,Double Bottom,9950.0,9650.0,10240.0,-0.8%,KOSPI,,,
383310,에코프로에이치엔,33350,30393,+9.7%,0.8x,6/7,Double Bottom,25700.0,26750.0,32300.0,+3.3%,KOSDAQ,,,
026910,광진실업,4730,2670,+77.2%,0.4x,6/7,Pivot Setup,,,,,KOSDAQ,4750.0,-0.4%,0.6x avg
