ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,206500,185960,+11.0%,0.8x,6/7,Double Bottom,172200.0,167200.0,208500.0,-1.0%,KOSPI,,,,,,,,,,,,
000660,SK하이닉스,1103000,934980,+18.0%,1.1x,7/7,Double Bottom,836000.0,807000.0,1056000.0,+4.5%,KOSPI,,,,,,,,,,,,
105560,KB금융,155900,151784,+2.7%,0.9x,6/7,Double Bottom,137700.0,141900.0,155700.0,+0.1%,KOSPI,,,,,,,,,,,,
055550,신한지주,98300,93916,+4.7%,0.7x,6/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+0.4%,KOSPI,99800.0,-1.5%,0.7x avg,,,,,,,,,
005490,POSCO홀딩스,361500,357820,+1.0%,0.6x,6/7,Double Bottom,321500.0,325000.0,353500.0,+2.3%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,35000,33952,+3.1%,0.7x,6/7,Double Bottom,31550.0,31700.0,33900.0,+3.2%,KOSPI,,,,,,,,,,,,
066570,LG전자,120000,114960,+4.4%,0.9x,6/7,Double Bottom,109000.0,105600.0,120000.0,+0.0%,KOSPI,,,,,,,,,,,,
005940,NH투자증권,35200,31844,+10.5%,0.9x,6/7,Double Bottom,28800.0,29600.0,35600.0,-1.1%,KOSPI,,,,,,,,,,,,
001440,대한전선,32150,30510,+5.4%,1.3x,6/7,Double Bottom,26050.0,26700.0,30800.0,+4.4%,KOSPI,,,,,,,,,,,,
004020,현대제철,39550,35610,+11.1%,1.2x,6/7,Double Bottom,33750.0,33450.0,39750.0,-0.5%,KOSPI,,,,,,,,,,,,
000990,DB하이텍,96700,91422,+5.8%,0.9x,6/7,Double Bottom,77300.0,77900.0,95000.0,+1.8%,KOSPI,,,,,,,,,,,,
103590,일진전기,84300,75968,+11.0%,1.7x,6/7,Double Bottom,72400.0,69500.0,82600.0,+2.1%,KOSPI,,,,,,,,,,,,
012510,더존비즈온,119300,110722,+7.7%,0.3x,7/7,Pivot Setup,,,,,KOSPI,119800.0,-0.4%,0.2x avg,,,,,,,,,
028670,팬오션,5290,5141,+2.9%,1.4x,6/7,Double Bottom,5000.0,4820.0,5330.0,-0.8%,KOSPI,,,,,,,,,,,,
120110,코오롱인더,91000,69280,+31.4%,1.0x,7/7,Pivot Setup,,,,,KOSPI,91300.0,-0.3%,0.8x avg,,,,,,,,,
395400,SK리츠,6750,5956,+13.3%,2.1x,7/7,Flat Base Breakout,,,,,KOSPI,,,,6600.0,10.0%,+2.3%,True,,,,,
030610,교보증권,13100,12832,+2.1%,1.2x,6/7,Double Bottom,11600.0,11400.0,13280.0,-1.4%,KOSPI,,,,,,,,,,,,
001740,SK네트웍스,5480,5335,+2.7%,1.0x,6/7,Double Bottom,5000.0,4920.0,5600.0,-2.1%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,6080,5793,+5.0%,1.8x,6/7,Double Bottom + Flat Base Breakout,5460.0,5640.0,5910.0,+2.9%,KOSPI,,,,6050.0,7.7%,+0.5%,False,,,,,
000400,롯데손해보험,2160,2049,+5.4%,1.1x,6/7,Double Bottom,1918.0,2000.0,2150.0,+0.5%,KOSPI,,,,,,,,,,,,
013580,계룡건설,30150,25784,+16.9%,8.6x,6/7,Double Bottom,24200.0,24600.0,29400.0,+2.6%,KOSPI,,,,,,,,,,,,
095570,AJ네트웍스,5130,5150,-0.4%,0.8x,6/7,VCP,,,,,KOSPI,,,,,,,,22.2%,17.0%,6.0%,27% of initial,True
002220,한일철강,4230,4214,+0.4%,0.9x,6/7,Double Bottom,3770.0,3645.0,4035.0,+4.8%,KOSPI,,,,,,,,,,,,
007980,TP,2000,1903,+5.1%,3.9x,6/7,Double Bottom + Flat Base Breakout,1734.0,1755.0,1940.0,+3.1%,KOSPI,,,,1930.0,12.2%,+3.6%,False,,,,,
012280,영화금속,1071,1025,+4.4%,0.9x,6/7,Double Bottom,1011.0,1001.0,1086.0,-1.4%,KOSPI,,,,,,,,,,,,
067390,아스트,810,750,+7.9%,2.2x,6/7,Double Bottom,733.0,702.0,807.0,+0.4%,KOSDAQ,,,,,,,,,,,,
036200,유니셈,10600,10022,+5.8%,3.9x,6/7,Double Bottom,8590.0,8520.0,10720.0,-1.1%,KOSDAQ,,,,,,,,,,,,
144960,뉴파워프라즈마,5740,5720,+0.3%,2.6x,6/7,Double Bottom,4975.0,4995.0,5820.0,-1.4%,KOSDAQ,,,,,,,,,,,,
264660,씨앤지하이테크,18740,18041,+3.9%,1.3x,6/7,Double Bottom,15650.0,15990.0,18720.0,+0.1%,KOSDAQ,,,,,,,,,,,,
040300,YTN,3415,3364,+1.5%,0.5x,6/7,Double Bottom,3055.0,3010.0,3400.0,+0.4%,KOSDAQ,,,,,,,,,,,,
095190,이엠코리아,2490,2332,+6.8%,1.8x,7/7,Double Bottom,2085.0,2175.0,2380.0,+4.6%,KOSDAQ,,,,,,,,,,,,
065450,빅텍,5500,4765,+15.4%,0.3x,7/7,Double Bottom,4780.0,4600.0,5290.0,+4.0%,KOSDAQ,,,,,,,,,,,,
021080,에이티넘인베스트,3265,3188,+2.4%,2.7x,6/7,Double Bottom,2835.0,2810.0,3320.0,-1.7%,KOSDAQ,,,,,,,,,,,,
331920,셀레믹스,17350,7499,+131.3%,0.3x,7/7,Pivot Setup,,,,,KOSDAQ,17190.0,+0.9%,0.3x avg,,,,,,,,,
446540,메가터치,4680,4068,+15.0%,16.8x,6/7,Flat Base Breakout,,,,,KOSDAQ,,,,4290.0,11.4%,+9.1%,True,,,,,
330350,위더스제약,9150,8689,+5.3%,3.0x,6/7,Double Bottom + Flat Base Breakout,8000.0,8110.0,8910.0,+2.7%,KOSDAQ,,,,8900.0,11.2%,+2.8%,True,,,,,
