ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
034020,두산에너빌리티,110800,2.1x,+12.1%,Effort vs Result,Effort vs Result,bullish
006800,미래에셋증권,71300,0.6x,+12.0%,No Supply,No Supply,bullish
005490,POSCO홀딩스,370000,0.6x,+3.3%,No Supply,No Supply,bullish
298040,효성중공업,2990000,0.6x,+14.3%,No Supply,No Supply,bullish
042700,한미반도체,292000,0.6x,+11.1%,No Supply,No Supply,bullish
272210,한화시스템,131800,0.4x,+4.0%,Testing,Testing,bullish
000720,현대건설,179500,0.6x,+21.8%,No Supply,No Supply,bullish
047810,한국항공우주,189900,0.7x,+5.4%,No Supply,No Supply,bullish
278470,에이피알,414500,0.4x,+29.8%,No Supply,No Supply + Testing,bullish
047050,포스코인터내셔널,72800,0.5x,+0.4%,No Supply,No Supply,bullish
005940,NH투자증권,35200,0.7x,+9.3%,No Supply,No Supply,bullish
028050,삼성E&A,50400,0.7x,+36.9%,No Supply,No Supply,bullish
016360,삼성증권,110600,0.7x,+11.8%,No Supply,No Supply,bullish
011070,LG이노텍,379000,0.5x,+31.0%,No Supply,No Supply,bullish
267270,HD건설기계,159700,0.7x,+16.5%,No Supply,No Supply,bullish
066970,엘앤에프,169500,0.5x,+27.9%,No Supply,No Supply + Testing,bullish
036570,NC,266500,2.4x,+19.8%,Effort vs Result,Effort vs Result,bullish
010060,OCI홀딩스,300000,2.9x,+75.1%,Effort vs Result,Effort vs Result,bullish
450080,에코프로머티,71700,0.4x,+5.9%,No Supply,No Supply,bullish
011790,SKC,122000,8.3x,+24.8%,Effort vs Result,Effort vs Result,bullish
489790,한화비전,79800,0.6x,+7.6%,No Supply,No Supply,bullish
011170,롯데케미칼,89300,0.6x,+9.4%,No Supply,No Supply,bullish
012510,더존비즈온,119300,0.3x,+6.8%,No Supply,No Supply + Testing,bullish
012750,에스원,91800,0.6x,+4.8%,No Supply,No Supply,bullish
023530,롯데쇼핑,121700,2.6x,+16.4%,Effort vs Result,Effort vs Result,bullish
439260,대한조선,89200,0.7x,+0.9%,No Supply,No Supply,bullish
071970,HD현대마린엔진,85500,0.6x,+5.7%,No Supply,No Supply,bullish
085620,미래에셋생명,17240,0.5x,+20.5%,No Supply,No Supply + Testing,bullish
120110,코오롱인더,87500,0.7x,+23.9%,No Supply,No Supply,bullish
008770,호텔신라,53800,3.6x,+16.7%,Effort vs Result,Effort vs Result,bullish
001120,LX인터내셔널,49800,0.5x,+9.7%,No Supply,No Supply,bullish
475150,SK이터닉스,55200,0.2x,+37.6%,No Supply,No Supply + Testing,bullish
322000,HD현대에너지솔루션,162900,0.4x,+39.4%,No Supply,No Supply,bullish
229640,LS에코에너지,56500,3.4x,+28.5%,Effort vs Result,Effort vs Result,bullish
012630,HDC,27250,0.4x,+9.4%,No Supply,No Supply,bullish
001800,오리온홀딩스,24900,0.5x,+4.6%,No Supply,No Supply + Testing,bullish
030610,교보증권,13280,0.6x,+3.1%,No Supply,No Supply,bullish
100090,SK오션플랜트,23950,0.3x,+11.2%,No Supply,No Supply,bullish
077970,STX엔진,33850,0.6x,+1.7%,No Supply,No Supply,bullish
000210,DL,63500,0.5x,+20.0%,No Supply,No Supply,bullish
005690,파미셀,19380,3.8x,+22.4%,Effort vs Result,Effort vs Result,bullish
000670,영풍,62400,0.4x,+6.5%,No Supply,No Supply,bullish
071055,한국금융지주우,176300,0.3x,+7.7%,Testing,Testing,bullish
075580,세진중공업,17690,0.6x,+0.1%,No Supply,No Supply,bullish
090460,비에이치,29200,4.9x,+44.0%,Effort vs Result,Effort vs Result,bullish
079900,전진건설로봇,67300,0.6x,+16.2%,No Supply,No Supply,bullish
003030,세아제강지주,220500,0.3x,+27.3%,No Supply,No Supply + Testing,bullish
010780,아이에스동서,29000,0.4x,+0.0%,No Supply,No Supply,bullish
001510,SK증권,1863,0.0x,+8.1%,Testing,Testing,bullish
025540,한국단자,83400,3.4x,+11.0%,Effort vs Result,Effort vs Result,bullish
033240,자화전자,38000,2.6x,-0.4%,Effort vs Result,Effort vs Result,bullish
