ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
009150,삼성전기,2127000,2.2x,+166.7%,Effort vs Result,Effort vs Result,bullish
373220,LG에너지솔루션,458000,2.3x,+8.2%,Effort vs Result,Effort vs Result,bullish
066570,LG전자,293000,2.2x,+96.1%,Effort vs Result,Effort vs Result,bullish
055550,신한지주,93600,1.8x,-2.5%,Stopping Volume,Stopping Volume,bullish
011070,LG이노텍,1458000,3.1x,+169.3%,Effort vs Result,Effort vs Result,bullish
000150,두산,1972000,2.4x,+38.3%,Effort vs Result,Effort vs Result,bullish
009540,HD한국조선해양,423000,1.6x,+1.6%,Stopping Volume,Stopping Volume,bullish
307950,현대오토에버,931000,2.4x,+90.4%,Effort vs Result,Effort vs Result,bullish
003550,LG,146600,5.9x,+47.1%,Effort vs Result,Effort vs Result,bullish
033780,KT&G,184700,1.7x,+8.5%,Stopping Volume,Stopping Volume,bullish
011200,HMM,19560,2.9x,-4.2%,Stopping Volume,Stopping Volume,bullish
071050,한국금융지주,237500,1.6x,-2.1%,Stopping Volume,Stopping Volume,bullish
0126Z0,삼성에피스홀딩스,484000,3.1x,-8.2%,Effort vs Result,Effort vs Result,bullish
259960,크래프톤,257500,1.8x,-0.3%,Stopping Volume,Stopping Volume,bullish
064400,LG씨엔에스,113800,2.9x,+64.7%,Effort vs Result,Effort vs Result,bullish
005940,NH투자증권,30200,1.8x,-10.0%,Stopping Volume,Stopping Volume,bullish
016360,삼성증권,119800,0.5x,+6.9%,No Supply,No Supply,bullish
353200,대덕전자,190900,2.3x,+75.1%,Effort vs Result,Effort vs Result,bullish
005830,DB손해보험,143100,3.0x,-14.3%,Effort vs Result,Effort vs Result,bullish
001440,대한전선,45450,0.6x,+4.0%,No Supply,No Supply,bullish
034220,LG디스플레이,16090,3.7x,+25.1%,Effort vs Result,Effort vs Result,bullish
000100,유한양행,85000,2.5x,-7.6%,Stopping Volume,Stopping Volume,bullish
090430,아모레퍼시픽,115100,2.6x,-12.0%,Stopping Volume,Stopping Volume,bullish
005385,현대차우,274000,2.6x,+7.1%,Stopping Volume,Stopping Volume,bullish
336260,두산퓨얼셀,91400,0.7x,+55.7%,No Supply,No Supply,bullish
000500,가온전선,322000,0.4x,+39.6%,No Supply,No Supply,bullish
020150,롯데에너지머티리얼즈,56100,0.7x,+2.7%,No Supply,No Supply,bullish
001740,SK네트웍스,11280,0.2x,+75.3%,No Supply,No Supply,bullish
009155,삼성전기우,765000,2.0x,+150.5%,Effort vs Result,Effort vs Result,bullish
229640,LS에코에너지,69100,0.6x,+8.9%,No Supply,No Supply,bullish
