ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,range1,range2,range3,contraction,vol_contraction,box_high,box_range,breakout,pivot_dryup
105560,KB금융,157800,154210,+2.3%,1.2x,7/7,Double Bottom,137700.0,141900.0,155700.0,+1.3%,KOSPI,,,,,,,,,,,,
055550,신한지주,98000,95504,+2.6%,1.0x,7/7,Double Bottom,88500.0,87700.0,97900.0,+0.1%,KOSPI,,,,,,,,,,,,
042660,한화오션,133000,129472,+2.7%,0.7x,7/7,Double Bottom,118200.0,120100.0,128000.0,+3.9%,KOSPI,,,,,,,,,,,,
006800,미래에셋증권,70300,67113,+4.7%,2.2x,7/7,Double Bottom,61100.0,61500.0,67300.0,+4.5%,KOSPI,,,,,,,,,,,,
010140,삼성중공업,32250,28746,+12.2%,1.3x,7/7,Double Bottom,23500.0,24450.0,30850.0,+4.5%,KOSPI,,,,,,,,,,,,
316140,우리금융지주,33300,34069,-2.3%,1.1x,6/7,Double Bottom,31700.0,31850.0,33600.0,-0.9%,KOSPI,,,,,,,,,,,,
005940,NH투자증권,36450,33683,+8.2%,2.8x,7/7,Double Bottom,28800.0,29600.0,35600.0,+2.4%,KOSPI,,,,,,,,,,,,
307950,현대오토에버,446000,418810,+6.5%,0.9x,7/7,Double Bottom,371500.0,358500.0,434000.0,+2.8%,KOSPI,,,,,,,,,,,,
066970,엘앤에프,213000,150040,+42.0%,1.0x,7/7,Pivot Setup,,,,,KOSPI,215000.0,-0.9%,0.7x avg,,,,,,,,,
271560,오리온,142800,133670,+6.8%,0.9x,7/7,Double Bottom,123600.0,127000.0,137800.0,+3.6%,KOSPI,,,,,,,,,,,,
001450,현대해상,31250,31167,+0.3%,1.3x,6/7,Double Bottom,29200.0,29600.0,32150.0,-2.8%,KOSPI,,,,,,,,,,,,
002790,아모레퍼시픽홀딩스,28550,28321,+0.8%,0.9x,6/7,Double Bottom,25500.0,26650.0,29350.0,-2.7%,KOSPI,,,,,,,,,,,,
003540,대신증권,39950,39478,+1.2%,3.0x,6/7,Double Bottom,36050.0,35100.0,40700.0,-1.8%,KOSPI,,,,,,,,,,,,
003530,한화투자증권,8190,7462,+9.7%,5.2x,7/7,Double Bottom,6290.0,6450.0,7920.0,+3.4%,KOSPI,,,,,,,,,,,,
012630,HDC,28100,26390,+6.5%,1.0x,6/7,Double Bottom,26100.0,26900.0,27800.0,+1.1%,KOSPI,,,,,,,,,,,,
