ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
005380,현대차,710000,2.3x,+35.0%,Effort vs Result,Effort vs Result,bullish
012330,현대모비스,649000,3.4x,+51.8%,Effort vs Result,Effort vs Result,bullish
006800,미래에셋증권,72900,0.6x,+7.2%,No Supply,No Supply,bullish
086280,현대글로비스,284000,2.7x,+24.0%,Effort vs Result,Effort vs Result,bullish
307950,현대오토에버,699000,3.0x,+62.0%,Effort vs Result,Effort vs Result,bullish
028050,삼성E&A,53000,0.6x,+21.4%,No Supply,No Supply,bullish
010060,OCI홀딩스,333500,0.5x,+41.9%,No Supply,No Supply,bullish
018880,한온시스템,5040,0.6x,+20.4%,No Supply,No Supply,bullish
014680,한솔케미칼,336000,2.2x,+18.2%,Effort vs Result,Effort vs Result,bullish
011780,금호석유화학,140300,0.4x,+7.3%,No Supply,No Supply,bullish
375500,DL이앤씨,83200,0.4x,+8.9%,No Supply,No Supply,bullish
204320,HL만도,63300,2.7x,+18.6%,Effort vs Result,Effort vs Result,bullish
071970,HD현대마린엔진,86900,0.5x,+1.7%,No Supply,No Supply,bullish
282330,BGF리테일,133700,1.7x,+3.6%,Stopping Volume,Stopping Volume,bullish
093370,후성,12030,0.3x,+21.4%,No Supply,No Supply,bullish
001740,SK네트웍스,6080,0.6x,+9.8%,No Supply,No Supply,bullish
456040,OCI,129900,0.2x,+24.7%,No Supply,No Supply,bullish
005690,파미셀,18200,0.5x,+8.1%,No Supply,No Supply,bullish
090460,비에이치,30150,0.4x,+21.4%,Testing,Testing,bullish
178920,PI첨단소재,28750,0.4x,+21.7%,No Supply,No Supply,bullish
011930,신성이엔지,3995,0.0x,+22.4%,Testing,Testing,bullish
336370,솔루스첨단소재,11350,0.3x,+8.5%,No Supply,No Supply,bullish
452260,한화갤러리아,3640,4.3x,+34.9%,Effort vs Result,Effort vs Result,bullish
001500,현대차증권,11160,0.6x,+0.6%,No Supply,No Supply,bullish
217590,티엠씨,27550,0.4x,+15.9%,No Supply,No Supply,bullish
017900,광전자,11250,0.2x,+59.1%,No Supply,No Supply,bullish
460860,동국제강,13090,0.5x,+22.2%,No Supply,No Supply + Testing,bullish
031430,신세계인터내셔날,16650,6.1x,+26.5%,Effort vs Result,Effort vs Result,bullish
001200,유진투자증권,5920,0.4x,+15.6%,No Supply,No Supply,bullish
403550,쏘카,17140,4.8x,+42.0%,Effort vs Result,Effort vs Result,bullish
097520,엠씨넥스,24400,3.7x,+6.1%,Effort vs Result,Effort vs Result,bullish
092220,KEC,1838,0.0x,+16.6%,Testing,Testing,bullish
011760,현대코퍼레이션,27850,0.6x,+2.1%,No Supply,No Supply,bullish
005720,넥센,6900,0.6x,+1.3%,No Supply,No Supply,bullish
001230,동국홀딩스,11400,0.0x,+7.8%,Testing,Testing,bullish
104700,한국철강,9740,0.3x,+0.1%,No Supply,No Supply + Testing,bullish
128820,대성산업,7530,10.8x,+2.4%,Effort vs Result,Effort vs Result,bullish
001250,GS글로벌,4000,0.4x,+19.6%,No Supply,No Supply,bullish
000650,천일고속,227000,3.8x,+4.0%,Effort vs Result,Effort vs Result,bullish
004430,송원산업,12220,0.4x,+19.3%,No Supply,No Supply,bullish
134380,미원화학,12700,0.5x,+6.3%,No Supply,No Supply,bullish
001130,대한제분,156500,0.0x,+4.0%,Testing,Testing,bullish
001080,만호제강,6170,7.2x,+19.4%,Effort vs Result,Effort vs Result,bullish
000480,CR홀딩스,4815,2.2x,-2.6%,Stopping Volume,Stopping Volume,bullish
012610,경인양행,5180,0.5x,+18.7%,No Supply,No Supply,bullish
018470,조일알미늄,1535,0.2x,+2.5%,No Supply,No Supply,bullish
017550,수산세보틱스,3000,0.2x,+18.5%,No Supply,No Supply,bullish
460850,동국씨엠,6040,0.2x,+3.5%,No Supply,No Supply + Testing,bullish
002780,진흥기업,1205,0.2x,+18.3%,No Supply,No Supply,bullish
