ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,211000,186966,+12.9%,0.9x,6/7,Double Bottom,172200.0,167200.0,208500.0,+1.2%,KOSPI,,,,,,,,,,,,
105560,KB금융,158200,152192,+3.9%,1.3x,6/7,Double Bottom,137700.0,141900.0,155700.0,+1.6%,KOSPI,,,,,,,,,,,,
055550,신한지주,99800,94210,+5.9%,0.9x,6/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+1.9%,KOSPI,100000.0,-0.2%,0.7x avg,,,,,,,,,
006800,미래에셋증권,69700,63068,+10.5%,1.4x,6/7,Double Bottom,61100.0,61500.0,67300.0,+3.6%,KOSPI,,,,,,,,,,,,
005490,POSCO홀딩스,368000,357900,+2.8%,0.8x,6/7,Double Bottom,321500.0,325000.0,353500.0,+4.1%,KOSPI,,,,,,,,,,,,
066570,LG전자,122200,115386,+5.9%,1.3x,6/7,Double Bottom,109000.0,105600.0,120000.0,+1.8%,KOSPI,,,,,,,,,,,,
003670,포스코퓨처엠,217500,214738,+1.3%,0.6x,6/7,Double Bottom,185200.0,186400.0,215500.0,+0.9%,KOSPI,,,,,,,,,,,,
010950,S-Oil,117500,112496,+4.4%,0.8x,6/7,Double Bottom,105400.0,105300.0,113300.0,+3.7%,KOSPI,,,,,,,,,,,,
005940,NH투자증권,35350,32030,+10.4%,0.9x,6/7,Double Bottom,28800.0,29600.0,35600.0,-0.7%,KOSPI,,,,,,,,,,,,
271560,오리온,138000,130426,+5.8%,1.5x,7/7,Double Bottom + Flat Base Breakout,123600.0,127000.0,137800.0,+0.1%,KOSPI,,,,137800.0,13.4%,+0.1%,True,,,,,
004020,현대제철,40000,35779,+11.8%,0.9x,6/7,Double Bottom,33750.0,33450.0,39750.0,+0.6%,KOSPI,,,,,,,,,,,,
000990,DB하이텍,98600,91372,+7.9%,1.6x,6/7,Double Bottom,77300.0,77900.0,95000.0,+3.8%,KOSPI,,,,,,,,,,,,
012510,더존비즈온,119300,111304,+7.2%,0.2x,7/7,Pivot Setup,,,,,KOSPI,119800.0,-0.4%,0.2x avg,,,,,,,,,
457190,이수스페셜티케미컬,104900,97922,+7.1%,2.6x,6/7,Double Bottom,85000.0,84700.0,105100.0,-0.2%,KOSPI,,,,,,,,,,,,
028670,팬오션,5370,5152,+4.2%,0.9x,6/7,Double Bottom,5000.0,4820.0,5330.0,+0.8%,KOSPI,,,,,,,,,,,,
030610,교보증권,13200,12854,+2.7%,0.8x,6/7,Double Bottom,11600.0,11400.0,13280.0,-0.6%,KOSPI,,,,,,,,,,,,
003470,유안타증권,5010,4865,+3.0%,1.0x,6/7,Double Bottom,4335.0,4420.0,5150.0,-2.7%,KOSPI,,,,,,,,,,,,
293940,신한알파리츠,6040,5798,+4.2%,1.6x,6/7,Double Bottom,5460.0,5640.0,5910.0,+2.2%,KOSPI,,,,,,,,,,,,
006340,대원전선,6540,5172,+26.4%,8.9x,6/7,Double Bottom,5000.0,4920.0,6520.0,+0.3%,KOSPI,,,,,,,,,,,,
053690,한미글로벌,33200,23431,+41.7%,0.6x,7/7,Pivot Setup,,,,,KOSPI,33500.0,-0.9%,0.6x avg,,,,,,,,,
009160,SIMPAC,5350,5088,+5.1%,0.4x,7/7,Double Bottom,4800.0,4570.0,5260.0,+1.7%,KOSPI,,,,,,,,,,,,
013580,계룡건설,29550,25939,+13.9%,3.4x,6/7,Double Bottom,24200.0,24600.0,29400.0,+0.5%,KOSPI,,,,,,,,,,,,
