ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup
105560,KB금융,170900,157916,+8.2%,0.7x,7/7,Double Bottom,151500.0,149300.0,172000.0,-0.6%,KOSPI,,,
055550,신한지주,107700,98242,+9.6%,0.9x,7/7,Double Bottom,92600.0,91600.0,107500.0,+0.2%,KOSPI,,,
047810,한국항공우주,161100,157746,+2.1%,0.9x,6/7,Pivot Setup,,,,,KOSPI,163200.0,-1.3%,0.8x avg
180640,한진칼,131100,116562,+12.5%,1.1x,6/7,Double Bottom,104700.0,109600.0,128100.0,+2.3%,KOSPI,,,
139130,iM금융지주,18300,17935,+2.0%,0.9x,6/7,Double Bottom,16600.0,15830.0,18320.0,-0.1%,KOSPI,,,
003690,코리안리,13600,13021,+4.4%,0.5x,6/7,Double Bottom,12760.0,12410.0,14000.0,-2.9%,KOSPI,,,
417310,코람코더원리츠,9950,10068,-1.2%,0.3x,6/7,Double Bottom,9650.0,9790.0,10220.0,-2.6%,KOSPI,,,
096530,씨젠,29050,28321,+2.6%,0.7x,6/7,Double Bottom,27350.0,26950.0,29500.0,-1.5%,KOSDAQ,,,
066980,한성크린텍,2130,1815,+17.3%,0.6x,7/7,Double Bottom,1681.0,1599.0,2050.0,+3.9%,KOSDAQ,,,
