ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,177000,171832,+3.0%,0.9x,7/7,Double Bottom,160100.0,160000.0,175800.0,+0.7%,KOSPI,,,,,,,
055550,신한지주,112600,106962,+5.3%,0.7x,7/7,Double Bottom,98300.0,101100.0,110000.0,+2.4%,KOSPI,,,,,,,
086790,하나금융지주,137200,131582,+4.3%,0.8x,7/7,Double Bottom,120400.0,123400.0,134700.0,+1.9%,KOSPI,,,,,,,
000810,삼성화재,664000,645200,+2.9%,0.6x,7/7,Double Bottom,587000.0,611000.0,648000.0,+2.5%,KOSPI,,,,,,,
094800,맵스리얼티,7910,6647,+19.0%,2.6x,7/7,Flat Base Breakout,,,,,KOSPI,7750.0,14.8%,+2.1%,False,,,
417310,코람코더원리츠,2355,2258,+4.3%,0.1x,7/7,Pivot Setup,,,,,KOSPI,,,,,2395.0,-1.7%,0.1x avg
005320,온타이드,1230,878,+40.0%,0.5x,6/7,Pivot Setup,,,,,KOSPI,,,,,1239.0,-0.7%,0.3x avg
094860,네오리진,1540,1369,+12.5%,0.6x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,1550.0,-0.6%,0.6x avg
