ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
105560,KB금융,173200,158232,+9.5%,1.0x,7/7,Double Bottom,151500,149300,172000,+0.7%,KOSPI
055550,신한지주,108600,98442,+10.3%,1.0x,7/7,Double Bottom,92600,91600,107500,+1.0%,KOSPI
161390,한국타이어앤테크놀로지,74100,64784,+14.4%,1.2x,7/7,Double Bottom,59100,59900,73500,+0.8%,KOSPI
180640,한진칼,133800,116902,+14.5%,0.8x,6/7,Double Bottom,104700,109600,128100,+4.4%,KOSPI
139130,iM금융지주,18710,17930,+4.3%,1.1x,6/7,Double Bottom,16600,15830,18320,+2.1%,KOSPI
003690,코리안리,13700,13049,+5.0%,0.6x,6/7,Double Bottom,12760,12410,14000,-2.1%,KOSPI
417310,코람코더원리츠,9970,10061,-0.9%,0.7x,6/7,Double Bottom,9650,9790,10220,-2.4%,KOSPI
096530,씨젠,29300,28410,+3.1%,0.8x,6/7,Double Bottom,27350,26950,29500,-0.7%,KOSDAQ
