ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
017670,SK텔레콤,105700,96752,+9.2%,0.9x,7/7,Double Bottom,93200,96900,105800,-0.1%,KOSPI
001800,오리온홀딩스,25300,24631,+2.7%,0.5x,7/7,Double Bottom,24000,23150,25850,-2.1%,KOSPI
