ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,177900,171260,+3.9%,0.9x,7/7,Double Bottom,160100.0,160000.0,175800.0,+1.2%,KOSPI,,,,,,,
055550,신한지주,112900,106516,+6.0%,0.9x,7/7,Double Bottom,98300.0,101100.0,110000.0,+2.6%,KOSPI,,,,,,,
086790,하나금융지주,137800,130704,+5.4%,0.9x,7/7,Double Bottom,120400.0,123400.0,134700.0,+2.3%,KOSPI,,,,,,,
294870,IPARK현대산업개발,24850,21045,+18.1%,1.9x,6/7,Flat Base Breakout,,,,,KOSPI,23950.0,13.0%,+3.8%,True,,,
000400,롯데손해보험,2120,2095,+1.2%,0.9x,7/7,Double Bottom,1884.0,1963.0,2075.0,+2.2%,KOSPI,,,,,,,
001230,동국홀딩스,2075,1842,+12.6%,0.6x,6/7,Pivot Setup,,,,,KOSPI,,,,,2090.0,-0.7%,0.8x avg
000430,대원강업,4825,3950,+22.1%,0.5x,6/7,Pivot Setup,,,,,KOSPI,,,,,4880.0,-1.1%,0.6x avg
417310,코람코더원리츠,2375,2241,+6.0%,0.2x,7/7,Pivot Setup,,,,,KOSPI,,,,,2375.0,+0.0%,0.1x avg
005320,온타이드,1203,855,+40.7%,0.2x,6/7,Pivot Setup,,,,,KOSPI,,,,,1227.0,-2.0%,0.2x avg
377450,리파인,16950,13465,+25.9%,0.5x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,17080.0,-0.8%,0.5x avg
