ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction,pivot_price,distance,vol_dryup
126700,하이비젼시스템,18750,17650,+6.2%,1.9x,7/7,Double Bottom,15630.0,15470.0,19020.0,-1.4%,KOSDAQ,,,,,,,,,,,,
100120,뷰웍스,29800,26798,+11.2%,3.8x,7/7,Double Bottom,24300.0,24350.0,30200.0,-1.3%,KOSDAQ,,,,,,,,,,,,
019010,베뉴지,5490,5070,+8.3%,3.2x,7/7,Flat Base Breakout,,,,,KOSDAQ,5420.0,13.3%,+1.3%,True,,,,,,,,
353810,이지바이오,7570,7401,+2.3%,1.0x,7/7,Double Bottom,6600.0,6840.0,7220.0,+4.8%,KOSDAQ,,,,,,,,,,,,
036710,심텍홀딩스,4030,2898,+39.0%,1.5x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,3945.0,+2.2%,0.8x avg
047770,코데즈컴바인,5160,4692,+10.0%,0.0x,7/7,Double Bottom,4150.0,4060.0,5210.0,-1.0%,KOSDAQ,,,,,,,,,,,,
250060,모비스,4900,4811,+1.8%,0.5x,6/7,Double Bottom,4050.0,4250.0,5010.0,-2.2%,KOSDAQ,,,,,,,,,,,,
065450,빅텍,5430,5278,+2.9%,0.4x,7/7,Double Bottom,4780.0,4600.0,5290.0,+2.6%,KOSDAQ,,,,,,,,,,,,
432470,케이엔에스,15310,14048,+9.0%,1.7x,7/7,Double Bottom,12010.0,12350.0,15640.0,-2.1%,KOSDAQ,,,,,,,,,,,,
094840,슈프리마에이치큐,11900,8357,+42.4%,0.7x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,11930.0,-0.3%,0.5x avg
241690,유니테크노,3920,3808,+2.9%,1.1x,7/7,Double Bottom,3400.0,3480.0,3970.0,-1.3%,KOSDAQ,,,,,,,,,,,,
232830,아이티센피엔에스,4825,3036,+58.9%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,4690.0,+2.9%,0.5x avg
042110,에스씨디,1586,1440,+10.1%,0.8x,6/7,Double Bottom,1431.0,1488.0,1546.0,+2.6%,KOSDAQ,,,,,,,,,,,,
096630,에스코넥,4585,4135,+10.9%,71.8x,6/7,Flat Base Breakout,,,,,KOSDAQ,4140.0,13.4%,+10.7%,True,,,,,,,,
466910,엔에이치스팩30호,5640,4439,+27.1%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,,,,,,5740.0,-1.7%,0.0x avg
297570,알로이스,1460,1572,-7.1%,1.0x,6/7,Double Bottom,1301.0,1343.0,1495.0,-2.3%,KOSDAQ,,,,,,,,,,,,
019570,플루토스,471,401,+17.3%,0.3x,6/7,Double Bottom,340.0,330.0,466.0,+1.1%,KOSDAQ,,,,,,,,,,,,
