ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
030200,KT,58000,2.2x,+3.9%,Effort vs Result,Effort vs Result,bullish
012510,더존비즈온,120000,0.0x,+0.0%,Testing,Testing,bullish
361610,SK아이이테크놀로지,16000,2.1x,-19.3%,Effort vs Result,Effort vs Result,bullish
057050,현대홈쇼핑,87300,0.0x,+4.7%,Testing,Testing,bullish
002990,금호건설,17310,2.6x,+191.4%,Effort vs Result,Effort vs Result,bullish
002840,미원상사,134900,2.6x,+6.1%,Effort vs Result,Effort vs Result,bullish
000400,롯데손해보험,2060,0.4x,+2.1%,Testing,Testing,bullish
014820,동원시스템즈,20100,2.1x,-9.6%,Effort vs Result,Effort vs Result,bullish
007690,국도화학,35650,0.5x,+0.2%,Testing,Testing,bullish
037710,광주신세계,41600,0.4x,+8.4%,No Supply,No Supply,bullish
226320,잇츠한불,10380,2.5x,-2.4%,Effort vs Result,Effort vs Result,bullish
025560,미래산업,41750,0.0x,+22.9%,Testing,Testing,bullish
004080,신흥,13940,0.2x,+0.8%,Testing,Testing,bullish
350520,이지스레지던스리츠,3330,1.7x,-5.1%,Stopping Volume,Stopping Volume,bullish
129260,인터지스,1945,1.6x,-8.6%,Stopping Volume,Stopping Volume,bullish
092440,기신정기,1930,1.6x,-6.1%,Stopping Volume,Stopping Volume,bullish
003680,한성기업,6510,11.5x,+37.8%,Effort vs Result,Effort vs Result,bullish
005360,모나미,1707,14.2x,+19.5%,Effort vs Result,Effort vs Result,bullish
002690,동일제강,1527,0.3x,+1.8%,No Supply,No Supply + Testing,bullish
006740,블루산업개발,1030,4.3x,-14.0%,Effort vs Result,Effort vs Result,bullish
089970,브이엠,86600,0.7x,+15.0%,No Supply,No Supply,bullish
035760,CJ ENM,34050,2.9x,-15.1%,Effort vs Result,Effort vs Result,bullish
399720,가온칩스,55600,5.4x,-0.0%,Effort vs Result,Effort vs Result,bullish
200710,에이디테크놀로지,35450,3.4x,-11.2%,Effort vs Result,Effort vs Result,bullish
394280,오픈엣지테크놀로지,10930,1.6x,-28.8%,Stopping Volume,Stopping Volume,bullish
950140,잉글우드랩,8630,1.5x,-12.3%,Stopping Volume,Stopping Volume,bullish
222040,코스맥스엔비티,7930,3.0x,+17.1%,Effort vs Result,Effort vs Result,bullish
046440,KG파이낸셜,3955,1.5x,-9.1%,Stopping Volume,Stopping Volume,bullish
086980,쇼박스,2270,2.5x,-10.7%,Effort vs Result,Effort vs Result,bullish
263800,데이타솔루션,7720,14.6x,+58.8%,Effort vs Result,Effort vs Result,bullish
339950,아이비김영,2690,0.5x,+2.6%,No Supply,No Supply + Testing,bullish
198440,강동씨앤엘,1739,0.4x,+31.5%,No Supply,No Supply,bullish
111710,남화산업,4080,0.3x,+1.4%,No Supply,No Supply,bullish
053280,예스24,3125,0.4x,+0.6%,No Supply,No Supply + Testing,bullish
053350,이니텍,3380,2.5x,+24.4%,Effort vs Result,Effort vs Result,bullish
187420,HLB제넥스,1908,1.6x,-16.8%,Stopping Volume,Stopping Volume,bullish
286750,나노실리칸첨단소재,1768,0.4x,+13.0%,No Supply,No Supply,bullish
033310,엠투엔,1301,2.2x,-13.7%,Effort vs Result,Effort vs Result,bullish
053980,오상자이엘,2535,1.5x,-9.5%,Stopping Volume,Stopping Volume,bullish
361570,알비더블유,1414,3.6x,-15.5%,Effort vs Result,Effort vs Result,bullish
038870,에코심플렉스,2710,14.1x,+18.9%,Effort vs Result,Effort vs Result,bullish
026910,광진실업,4660,0.3x,+31.6%,No Supply,No Supply,bullish
318010,팜스빌,3610,3.4x,+2.9%,Effort vs Result,Effort vs Result,bullish
303530,이노뎁,3590,8.9x,-1.6%,Effort vs Result,Effort vs Result,bullish
033200,모아텍,2685,2.0x,-20.8%,Stopping Volume,Stopping Volume,bullish
134060,이퓨쳐,4730,0.5x,+8.6%,No Supply,No Supply + Testing,bullish
050760,에스폴리텍,1282,0.3x,+3.4%,No Supply,No Supply,bullish
238200,비피도,2550,2.9x,-3.5%,Effort vs Result,Effort vs Result,bullish
014100,메디앙스,1735,0.7x,+6.5%,No Supply,No Supply,bullish
018620,우진비앤지,2830,4.4x,+4.9%,Effort vs Result,Effort vs Result,bullish
060260,뉴보텍,1442,0.3x,+5.8%,No Supply,No Supply,bullish
043590,웰킵스하이텍,1196,7.5x,+0.9%,Effort vs Result,Effort vs Result,bullish
060480,국일신동,1370,1.7x,-14.6%,Stopping Volume,Stopping Volume,bullish
0099X0,IBKS제25호스팩,2180,0.0x,+1.8%,Testing,Testing,bullish
469900,하나31호스팩,2075,2.1x,+0.4%,Stopping Volume,Stopping Volume,bullish
477470,미래에셋비전스팩5호,2090,0.2x,+0.4%,Testing,Testing,bullish
0105P0,유진스팩12호,2005,0.2x,+0.2%,Testing,Testing,bullish
474660,신한제12호스팩,2055,0.0x,+0.1%,Testing,Testing,bullish
478110,이베스트스팩6호,2040,0.0x,+0.1%,Testing,Testing,bullish
0041B0,교보18호스팩,2030,0.0x,+0.1%,Testing,Testing,bullish
487720,키움제10호스팩,2030,2.1x,+0.1%,Effort vs Result,Effort vs Result,bullish
475250,하나33호스팩,2070,2.4x,-0.2%,Effort vs Result,Effort vs Result,bullish
