ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
009150,삼성전기,2032000,0.4x,+78.6%,Testing,Testing,bullish
005380,현대차,618000,0.5x,+3.8%,No Supply,No Supply,bullish
000270,기아,166300,0.4x,+3.8%,No Supply,No Supply,bullish
012330,현대모비스,631000,0.3x,+17.6%,No Supply,No Supply,bullish
267260,HD현대일렉트릭,1120000,0.6x,+0.2%,No Supply,No Supply,bullish
010120,LS ELECTRIC,255000,0.6x,+8.2%,No Supply,No Supply,bullish
066570,LG전자,234500,0.3x,+24.4%,Testing,Testing,bullish
298040,효성중공업,3855000,0.6x,+8.4%,No Supply,No Supply,bullish
009540,HD한국조선해양,434000,0.6x,+3.3%,No Supply,No Supply,bullish
042700,한미반도체,319500,0.5x,+0.7%,No Supply,No Supply,bullish
000150,두산,1624000,0.7x,+3.4%,No Supply,No Supply,bullish
064350,현대로템,219000,0.7x,+2.0%,No Supply,No Supply,bullish
138040,메리츠금융지주,114300,0.5x,+2.8%,No Supply,No Supply + Testing,bullish
307950,현대오토에버,691000,0.2x,+19.8%,No Supply,No Supply,bullish
003550,LG,112500,0.3x,+4.6%,No Supply,No Supply + Testing,bullish
064400,LG씨엔에스,92400,0.3x,+15.4%,Testing,Testing,bullish
180640,한진칼,122600,0.3x,+7.0%,No Supply,No Supply,bullish
062040,산일전기,251000,0.6x,+7.2%,No Supply,No Supply,bullish
011790,SKC,142400,0.3x,+11.0%,Testing,Testing,bullish
034220,LG디스플레이,13770,0.2x,+1.5%,No Supply,No Supply + Testing,bullish
454910,두산로보틱스,106200,0.2x,+1.1%,No Supply,No Supply,bullish
000500,가온전선,341000,2.4x,+21.9%,Effort vs Result,Effort vs Result,bullish
002380,KCC,549000,0.6x,+1.3%,No Supply,No Supply,bullish
011170,롯데케미칼,81900,2.1x,-6.8%,Effort vs Result,Effort vs Result,bullish
012510,더존비즈온,120000,0.1x,+0.2%,Testing,Testing,bullish
003690,코리안리,13930,0.7x,+8.9%,No Supply,No Supply,bullish
001740,SK네트웍스,11880,0.2x,+45.2%,Testing,Testing,bullish
462870,시프트업,32150,0.4x,+1.1%,No Supply,No Supply,bullish
009155,삼성전기우,617000,0.5x,+50.4%,Testing,Testing,bullish
066575,LG전자우,79600,0.2x,+12.4%,No Supply,No Supply,bullish
005090,SGC에너지,56300,0.5x,+3.7%,No Supply,No Supply,bullish
002350,넥센타이어,7390,0.5x,+3.6%,No Supply,No Supply + Testing,bullish
004710,한솔테크닉스,15340,3.5x,+56.9%,Effort vs Result,Effort vs Result,bullish
453340,현대그린푸드,17490,0.5x,+2.9%,No Supply,No Supply,bullish
031430,신세계인터내셔날,15390,0.6x,+7.9%,No Supply,No Supply,bullish
091810,트리니티항공,903,0.5x,+0.9%,No Supply,No Supply,bullish
005950,이수화학,13910,0.3x,+23.8%,No Supply,No Supply + Testing,bullish
02826K,삼성물산우B,248500,0.5x,+15.2%,No Supply,No Supply,bullish
003120,일성아이에스,19700,1.7x,-7.4%,Stopping Volume,Stopping Volume,bullish
001750,한양증권,20100,4.0x,-22.1%,Stopping Volume,Stopping Volume,bullish
298000,효성화학,67400,5.4x,-12.0%,Effort vs Result,Effort vs Result,bullish
025560,미래산업,44200,0.3x,+85.2%,No Supply,No Supply,bullish
088260,이리츠코크렙,3465,3.3x,-22.3%,Stopping Volume,Stopping Volume,bullish
100250,진양홀딩스,3015,0.3x,+0.0%,Testing,Testing,bullish
462520,조선내화,15220,2.1x,+5.3%,Effort vs Result,Effort vs Result,bullish
016450,한세예스24홀딩스,4510,0.6x,+1.8%,No Supply,No Supply,bullish
002460,HS화성,13500,0.4x,+7.8%,No Supply,No Supply + Testing,bullish
034590,인천도시가스,26550,0.5x,+0.1%,Testing,Testing,bullish
002700,신일전자,1270,2.1x,-5.9%,Effort vs Result,Effort vs Result,bullish
009190,대양금속,1808,0.1x,+10.6%,No Supply,No Supply,bullish
007460,에이프로젠,3100,0.6x,+36.5%,No Supply,No Supply,bullish
155660,DSR,4350,0.5x,+0.7%,No Supply,No Supply,bullish
010770,평화홀딩스,4180,0.1x,+0.7%,No Supply,No Supply + Testing,bullish
006345,대원전선우,15700,3.8x,+45.5%,Effort vs Result,Effort vs Result,bullish
013000,세우글로벌,1345,0.2x,+1.8%,No Supply,No Supply,bullish
071950,코아스,1888,0.2x,+6.7%,Testing,Testing,bullish
002070,비비안,7030,0.3x,+35.8%,No Supply,No Supply,bullish
001770,SHD,13060,2.2x,-16.2%,Stopping Volume,Stopping Volume,bullish
036930,주성엔지니어링,220000,0.6x,+46.6%,No Supply,No Supply,bullish
108490,로보티즈,308500,0.3x,+2.3%,No Supply,No Supply + Testing,bullish
178320,서진시스템,68900,0.5x,+10.0%,No Supply,No Supply,bullish
319400,현대무벡스,36150,0.2x,+5.5%,Testing,Testing,bullish
080220,제주반도체,111500,2.4x,+54.0%,Effort vs Result,Effort vs Result,bullish
131970,두산테스나,146700,0.7x,+7.8%,No Supply,No Supply,bullish
031980,피에스케이홀딩스,121600,0.6x,+1.8%,No Supply,No Supply,bullish
098460,고영,35500,0.5x,+1.8%,No Supply,No Supply + Testing,bullish
420770,기가비스,140700,0.3x,+25.3%,Testing,Testing,bullish
090360,로보스타,103500,0.2x,+24.7%,No Supply,No Supply,bullish
033640,네패스,37800,0.7x,+22.7%,No Supply,No Supply,bullish
053610,프로텍,85100,0.5x,+10.3%,No Supply,No Supply,bullish
019210,와이지-원,20300,2.5x,+30.6%,Effort vs Result,Effort vs Result,bullish
122640,예스티,33650,3.1x,+25.9%,Effort vs Result,Effort vs Result,bullish
037460,삼지전자,40700,0.3x,+6.5%,Testing,Testing,bullish
170920,엘티씨,49450,0.5x,+18.2%,No Supply,No Supply,bullish
101160,월덱스,29500,2.1x,+0.8%,Effort vs Result,Effort vs Result,bullish
052710,아모텍,30500,0.5x,+32.2%,No Supply,No Supply + Testing,bullish
092190,서울바이오시스,9370,0.3x,+1.5%,No Supply,No Supply + Testing,bullish
