ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup
105560,KB금융,179700,171962,+4.5%,0.8x,7/7,Double Bottom,160100.0,160000.0,175800.0,+2.2%,KOSPI,,,
055550,신한지주,114100,107072,+6.6%,0.8x,7/7,Double Bottom,98300.0,101100.0,110000.0,+3.7%,KOSPI,,,
007340,DN오토모티브,48200,44166,+9.1%,0.8x,7/7,Double Bottom,44200.0,43500.0,48550.0,-0.7%,KOSPI,,,
417310,코람코더원리츠,2390,2264,+5.5%,0.1x,7/7,Pivot Setup,,,,,KOSPI,2395.0,-0.2%,0.1x avg
005320,온타이드,1271,887,+43.2%,0.6x,6/7,Pivot Setup,,,,,KOSPI,1249.0,+1.8%,0.4x avg
092870,엑시콘,33700,20990,+60.5%,0.8x,6/7,Pivot Setup,,,,,KOSDAQ,32800.0,+2.7%,0.6x avg
032580,피델릭스,5210,4510,+15.5%,0.6x,6/7,Pivot Setup,,,,,KOSDAQ,5190.0,+0.4%,0.4x avg
