ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup,box_high,box_range,breakout,pivot_dryup
105560,KB금융,175900,169730,+3.6%,0.6x,6/7,Double Bottom,160100.0,160000.0,175800.0,+0.1%,KOSPI,,,,,,,
055550,신한지주,113900,105180,+8.3%,0.7x,7/7,Double Bottom,98300.0,101100.0,110000.0,+3.5%,KOSPI,,,,,,,
086790,하나금융지주,138900,128936,+7.7%,0.7x,7/7,Double Bottom,120400.0,123400.0,134700.0,+3.1%,KOSPI,,,,,,,
000810,삼성화재,656000,641380,+2.3%,0.8x,7/7,Double Bottom,587000.0,611000.0,648000.0,+1.2%,KOSPI,,,,,,,
018260,삼성에스디에스,242500,214786,+12.9%,0.6x,6/7,Pivot Setup,,,,,KOSPI,246000.0,-1.4%,0.7x avg,,,,
021240,코웨이,97700,94502,+3.4%,0.7x,7/7,Double Bottom,90600.0,93400.0,98200.0,-0.5%,KOSPI,,,,,,,
294870,IPARK현대산업개발,23150,20610,+12.3%,0.7x,6/7,Pivot Setup,,,,,KOSPI,23500.0,-1.5%,0.7x avg,,,,
000430,대원강업,4560,3890,+17.2%,0.7x,6/7,Pivot Setup,,,,,KOSPI,4580.0,-0.4%,0.4x avg,,,,
417310,코람코더원리츠,2365,2218,+6.6%,0.1x,7/7,Pivot Setup,,,,,KOSPI,2370.0,-0.2%,0.3x avg,,,,
084370,유진테크,143200,135952,+5.3%,0.8x,6/7,Pivot Setup,,,,,KOSDAQ,140400.0,+2.0%,0.8x avg,,,,
016920,카스,1121,1021,+9.8%,1.8x,6/7,Flat Base Breakout,,,,,KOSDAQ,,,,1113.0,13.6%,+0.7%,False
