ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
003490,대한항공,27550,26175,+5.3%,0.6x,7/7,Double Bottom,24800,23800,27450,+0.4%,KOSPI
383310,에코프로에이치엔,31750,30412,+4.4%,0.6x,6/7,Double Bottom,25700,26750,32300,-1.7%,KOSDAQ
