ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
005935,삼성전자우,182700,0.0x,+28.8%,Testing,Testing,bullish
009150,삼성전기,914000,0.0x,+63.5%,Testing,Testing,bullish
006400,삼성SDI,678000,0.5x,+39.2%,No Supply,No Supply,bullish
000720,현대건설,164000,0.7x,+1.2%,No Supply,No Supply,bullish
003550,LG,108900,2.0x,+16.3%,Effort vs Result,Effort vs Result,bullish
307950,현대오토에버,592000,6.6x,+40.1%,Effort vs Result,Effort vs Result,bullish
047040,대우건설,32850,0.2x,+60.0%,Testing,Testing,bullish
003490,대한항공,27050,2.0x,+8.9%,Effort vs Result,Effort vs Result,bullish
009830,한화솔루션,47300,0.4x,+4.2%,No Supply,No Supply,bullish
000500,가온전선,477000,2.1x,+228.3%,Effort vs Result,Effort vs Result,bullish
241560,두산밥캣,74900,0.6x,+14.7%,No Supply,No Supply,bullish
454910,두산로보틱스,101000,2.1x,+9.7%,Stopping Volume,Stopping Volume,bullish
010060,OCI홀딩스,318500,0.4x,+42.0%,No Supply,No Supply,bullish
271560,오리온,141200,0.7x,+5.5%,No Supply,No Supply,bullish
017800,현대엘리베이터,97900,0.6x,+6.1%,No Supply,No Supply,bullish
011780,금호석유화학,150800,3.4x,+14.9%,Effort vs Result,Effort vs Result,bullish
020150,롯데에너지머티리얼즈,71400,0.6x,+47.5%,No Supply,No Supply,bullish
375500,DL이앤씨,95400,0.6x,+28.3%,No Supply,No Supply,bullish
028670,팬오션,5980,0.0x,+12.2%,Testing,Testing,bullish
139130,iM금융지주,19100,0.7x,+7.3%,No Supply,No Supply,bullish
097230,HJ중공업,26650,0.5x,+1.4%,No Supply,No Supply,bullish
161890,한국콜마,93600,2.6x,+18.9%,Effort vs Result,Effort vs Result,bullish
007070,GS리테일,25800,5.0x,+19.1%,Effort vs Result,Effort vs Result,bullish
006040,동원산업,39100,2.4x,+0.2%,Effort vs Result,Effort vs Result,bullish
456040,OCI,134300,0.3x,+32.2%,Testing,Testing,bullish
280360,롯데웰푸드,127600,3.0x,+10.0%,Effort vs Result,Effort vs Result,bullish
005300,롯데칠성,119400,1.7x,-1.6%,Stopping Volume,Stopping Volume,bullish
002020,코오롱,83600,3.9x,+34.6%,Effort vs Result,Effort vs Result,bullish
336370,솔루스첨단소재,12940,0.3x,+25.8%,No Supply,No Supply,bullish
011930,신성이엔지,3995,0.0x,+26.5%,Testing,Testing,bullish
010820,퍼스텍,12990,0.1x,+31.7%,No Supply,No Supply,bullish
453340,현대그린푸드,19300,3.1x,+20.0%,Effort vs Result,Effort vs Result,bullish
005389,현대차3우B,260500,4.1x,+5.7%,Effort vs Result,Effort vs Result,bullish
009410,태영건설,1961,0.4x,+3.2%,No Supply,No Supply,bullish
452260,한화갤러리아,2920,0.2x,+8.0%,Testing,Testing,bullish
003300,한일홀딩스,17960,3.1x,+3.0%,Effort vs Result,Effort vs Result,bullish
092790,넥스틸,19840,0.3x,+38.2%,No Supply,No Supply,bullish
306200,세아제강,174000,0.4x,+19.8%,Testing,Testing,bullish
010690,화신,12890,3.1x,+6.8%,Effort vs Result,Effort vs Result,bullish
001390,KG케미칼,6110,0.0x,+10.2%,Testing,Testing,bullish
092220,KEC,1838,0.0x,+19.3%,Testing,Testing,bullish
104700,한국철강,10040,0.2x,+3.2%,No Supply,No Supply + Testing,bullish
001230,동국홀딩스,11400,0.0x,+8.9%,Testing,Testing,bullish
004710,한솔테크닉스,10880,2.3x,+76.6%,Effort vs Result,Effort vs Result,bullish
000680,LS네트웍스,4115,0.3x,+20.2%,No Supply,No Supply + Testing,bullish
001460,BYC,49000,1.7x,+0.7%,Stopping Volume,Stopping Volume,bullish
003120,일성아이에스,21850,2.0x,-5.8%,Stopping Volume,Stopping Volume,bullish
003070,코오롱글로벌,10980,0.4x,+0.2%,Testing,Testing,bullish
044450,KSS해운,11900,0.2x,+3.3%,Testing,Testing,bullish
001130,대한제분,156500,0.0x,+3.9%,Testing,Testing,bullish
008350,남선알미늄,1995,0.1x,+8.3%,No Supply,No Supply + Testing,bullish
013580,계룡건설,28300,0.3x,+4.2%,No Supply,No Supply,bullish
012200,계양전기,8480,4.6x,+22.3%,Effort vs Result,Effort vs Result,bullish
003555,LG우,73000,2.5x,+4.3%,Effort vs Result,Effort vs Result,bullish
044820,코스맥스비티아이,22650,13.4x,+39.0%,Effort vs Result,Effort vs Result,bullish
102260,동성케미컬,4270,0.7x,+0.7%,No Supply,No Supply,bullish
001045,CJ우,92000,3.5x,+4.0%,Effort vs Result,Effort vs Result,bullish
002780,진흥기업,1396,0.3x,+40.6%,No Supply,No Supply,bullish
460850,동국씨엠,6390,0.3x,+9.7%,No Supply,No Supply + Testing,bullish
011785,금호석유화학우,62500,3.9x,+4.4%,Effort vs Result,Effort vs Result,bullish
317400,자이에스앤디,4565,0.6x,+2.2%,No Supply,No Supply,bullish
