ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup,range1,range2,range3,contraction,vol_contraction
126700,하이비젼시스템,19170,17638,+8.7%,1.1x,7/7,Double Bottom,15630.0,15470.0,19020.0,+0.8%,KOSDAQ,,,,,,,,,,,,
297090,씨에스베어링,9300,7623,+22.0%,0.6x,6/7,Double Bottom,7690.0,7550.0,9140.0,+1.8%,KOSDAQ,,,,,,,,,,,,
417010,나노팀,11720,10844,+8.1%,0.5x,7/7,Double Bottom,8730.0,8960.0,11490.0,+2.0%,KOSDAQ,,,,,,,,,,,,
340450,지씨지놈,8680,7862,+10.4%,1.8x,6/7,Double Bottom,7400.0,7050.0,8280.0,+4.8%,KOSDAQ,,,,,,,,,,,,
122990,와이솔,7640,7112,+7.4%,0.8x,7/7,Double Bottom,6510.0,6240.0,7610.0,+0.4%,KOSDAQ,,,,,,,,,,,,
456070,이엔셀,16280,15613,+4.3%,0.6x,6/7,Double Bottom,14600.0,14000.0,16020.0,+1.6%,KOSDAQ,,,,,,,,,,,,
040300,YTN,3475,3347,+3.8%,0.2x,6/7,Double Bottom,3055.0,3010.0,3400.0,+2.2%,KOSDAQ,,,,,,,,,,,,
049520,유아이엘,4060,4004,+1.4%,0.4x,7/7,Double Bottom,3705.0,3670.0,4165.0,-2.5%,KOSDAQ,,,,,,,,,,,,
330350,위더스제약,9070,8834,+2.7%,0.6x,7/7,Double Bottom,8000.0,8110.0,8910.0,+1.8%,KOSDAQ,,,,,,,,,,,,
448710,코츠테크놀로지,22600,20187,+11.9%,0.6x,6/7,Double Bottom,17070.0,17090.0,22100.0,+2.3%,KOSDAQ,,,,,,,,,,,,
011370,서한,1097,1066,+2.9%,1.0x,7/7,Double Bottom,1033.0,1009.0,1106.0,-0.8%,KOSDAQ,,,,,,,,,,,,
241690,유니테크노,3910,3802,+2.8%,1.0x,7/7,Double Bottom,3400.0,3480.0,3970.0,-1.5%,KOSDAQ,,,,,,,,,,,,
095910,에스에너지,2285,1723,+32.6%,1.3x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,2295.0,-0.4%,0.7x avg,,,,,
126640,화신정공,1599,1519,+5.2%,1.2x,7/7,VCP,,,,,KOSDAQ,,,,,,,,27.5%,15.3%,9.4%,34% of initial,True
119500,포메탈,4340,4234,+2.5%,0.5x,7/7,Double Bottom,3845.0,3705.0,4370.0,-0.7%,KOSDAQ,,,,,,,,,,,,
466910,엔에이치스팩30호,5640,4325,+30.4%,0.0x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,5740.0,-1.7%,0.0x avg,,,,,
017000,신원종합개발,3185,3116,+2.2%,0.4x,7/7,Double Bottom,2735.0,2865.0,3250.0,-2.0%,KOSDAQ,,,,,,,,,,,,
019570,플루토스,470,401,+17.2%,0.4x,6/7,Double Bottom,340.0,330.0,466.0,+0.9%,KOSDAQ,,,,,,,,,,,,
