ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
000810,삼성화재,636000,0.6x,+12.1%,No Supply,No Supply,bullish
012510,더존비즈온,120000,0.0x,+0.2%,Testing,Testing,bullish
161890,한국콜마,90700,2.5x,+2.9%,Effort vs Result,Effort vs Result,bullish
057050,현대홈쇼핑,87300,0.0x,+5.8%,Testing,Testing,bullish
037710,광주신세계,52900,10.5x,+42.2%,Effort vs Result,Effort vs Result,bullish
002030,아세아,166400,1.6x,-24.9%,Stopping Volume,Stopping Volume,bullish
002990,금호건설,6630,6.9x,+42.9%,Effort vs Result,Effort vs Result,bullish
000050,경방,7570,1.6x,-17.4%,Stopping Volume,Stopping Volume,bullish
002170,SYTS,52900,1.7x,-5.8%,Stopping Volume,Stopping Volume,bullish
004080,신흥,13880,0.3x,+0.2%,Testing,Testing,bullish
317400,자이에스앤디,3360,1.7x,-17.8%,Stopping Volume,Stopping Volume,bullish
014790,HL D&I,2315,1.8x,-22.9%,Stopping Volume,Stopping Volume,bullish
072130,유엔젤,5340,2.5x,+4.6%,Effort vs Result,Effort vs Result,bullish
075180,새론오토모티브,2985,3.8x,+1.5%,Effort vs Result,Effort vs Result,bullish
024900,디와이덕양,1759,1.6x,-14.3%,Stopping Volume,Stopping Volume,bullish
001210,금호전기,845,5.5x,+15.6%,Effort vs Result,Effort vs Result,bullish
006980,우성,15780,2.1x,-23.0%,Stopping Volume,Stopping Volume,bullish
002880,디와이에이,990,6.2x,+15.9%,Effort vs Result,Effort vs Result,bullish
002920,유성기업,1629,1.6x,-9.5%,Stopping Volume,Stopping Volume,bullish
006570,대림통상,1985,0.6x,+1.6%,No Supply,No Supply,bullish
025890,한국주강,2150,0.2x,+4.0%,Testing,Testing,bullish
118000,메타케어,1102,1.6x,-37.7%,Stopping Volume,Stopping Volume,bullish
124500,아이티센글로벌,21500,2.2x,-53.1%,Stopping Volume,Stopping Volume,bullish
089890,코세스,27900,1.7x,-26.0%,Stopping Volume,Stopping Volume,bullish
051360,토비스,16090,3.3x,-8.2%,Effort vs Result,Effort vs Result,bullish
039830,오로라,16860,0.6x,+4.9%,No Supply,No Supply,bullish
119610,인터로조,15820,1.9x,-18.5%,Stopping Volume,Stopping Volume,bullish
474650,링크솔루션,28500,1.5x,-42.4%,Stopping Volume,Stopping Volume,bullish
092130,이크레더블,13580,1.6x,-6.3%,Stopping Volume,Stopping Volume,bullish
462860,더즌,1977,1.7x,-34.8%,Stopping Volume,Stopping Volume,bullish
111710,남화산업,4900,5.8x,+28.6%,Effort vs Result,Effort vs Result,bullish
096240,크레버스,8930,1.9x,-9.9%,Stopping Volume,Stopping Volume,bullish
035080,그래디언트,7680,1.7x,-24.2%,Stopping Volume,Stopping Volume,bullish
093920,서원인텍,4575,1.7x,-8.0%,Stopping Volume,Stopping Volume,bullish
179900,유티아이,4255,1.8x,-76.5%,Stopping Volume,Stopping Volume,bullish
290660,다이나믹솔루션,1916,2.5x,-5.7%,Effort vs Result,Effort vs Result,bullish
130580,나이스디앤비,5260,2.4x,-4.6%,Stopping Volume,Stopping Volume,bullish
162300,신스틸,1777,0.7x,+0.5%,No Supply,No Supply,bullish
054620,APS,3860,1.6x,-31.4%,Stopping Volume,Stopping Volume,bullish
265560,영화테크,6180,1.5x,-28.8%,Stopping Volume,Stopping Volume,bullish
241790,티이엠씨씨엔에스,6500,15.8x,-10.2%,Effort vs Result,Effort vs Result,bullish
082210,옵트론텍,1760,4.1x,+4.5%,Effort vs Result,Effort vs Result,bullish
104540,코렌텍,3875,2.2x,-20.9%,Effort vs Result,Effort vs Result,bullish
205470,휴마시스,2100,1.7x,-40.4%,Stopping Volume,Stopping Volume,bullish
189690,포시에스,1760,6.7x,-7.4%,Effort vs Result,Effort vs Result,bullish
200780,비씨월드제약,3015,1.9x,-24.5%,Stopping Volume,Stopping Volume,bullish
097780,에코볼트,1441,2.5x,-13.7%,Effort vs Result,Effort vs Result,bullish
457600,벡트,2040,0.5x,+2.0%,No Supply,No Supply,bullish
060260,뉴보텍,1549,3.6x,+15.7%,Effort vs Result,Effort vs Result,bullish
376980,원티드랩,2090,1.7x,-31.7%,Stopping Volume,Stopping Volume,bullish
032280,삼일,1077,2.1x,-18.3%,Effort vs Result,Effort vs Result,bullish
012340,뉴인텍,1450,11.8x,+17.6%,Effort vs Result,Effort vs Result,bullish
084440,유비온,848,3.0x,-21.2%,Stopping Volume,Stopping Volume,bullish
489480,키움제11호스팩,2035,0.0x,+0.1%,Testing,Testing,bullish
0096B0,삼성스팩12호,1987,1.7x,-0.8%,Stopping Volume,Stopping Volume,bullish
079190,케스피온,666,2.9x,-14.6%,Effort vs Result,Effort vs Result,bullish
474490,유안타제16호스팩,2050,0.2x,+0.1%,Testing,Testing,bullish
106520,노블엠앤비,12,2.1x,-96.8%,Stopping Volume,Stopping Volume,bullish
