ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
105560,KB금융,171400,158772,+8.0%,1.5x,7/7,Double Bottom,151500,149300,172000,-0.3%,KOSPI
055550,신한지주,105000,98690,+6.4%,1.2x,7/7,Double Bottom,92600,91600,107500,-2.3%,KOSPI
066980,한성크린텍,2110,1841,+14.6%,1.1x,7/7,Double Bottom,1681,1599,2050,+2.9%,KOSDAQ
