ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,181200,171584,+5.6%,0.9x,7/7,Double Bottom,160100.0,160000.0,175800.0,+3.1%,KOSPI,,,,,,,
055550,신한지주,115000,106772,+7.7%,0.8x,7/7,Double Bottom,98300.0,101100.0,110000.0,+4.5%,KOSPI,,,,,,,
086790,하나금융지주,140400,131096,+7.1%,1.0x,7/7,Double Bottom,120400.0,123400.0,134700.0,+4.2%,KOSPI,,,,,,,
000810,삼성화재,673000,644940,+4.4%,0.6x,7/7,Double Bottom,587000.0,611000.0,648000.0,+3.9%,KOSPI,,,,,,,
316140,우리금융지주,36800,32713,+12.5%,1.6x,6/7,Flat Base Breakout,,,,,KOSPI,35600.0,14.8%,+3.4%,False,,,
000880,한화,141300,114539,+23.4%,0.6x,6/7,Pivot Setup,,,,,KOSPI,,,,,143200.0,-1.3%,0.5x avg
021240,코웨이,99700,95108,+4.8%,1.5x,7/7,Double Bottom,90600.0,93400.0,98200.0,+1.5%,KOSPI,,,,,,,
000400,롯데손해보험,2080,2097,-0.8%,0.4x,6/7,Double Bottom,1884.0,1963.0,2075.0,+0.2%,KOSPI,,,,,,,
000430,대원강업,4905,3969,+23.6%,1.3x,6/7,Pivot Setup,,,,,KOSPI,,,,,4880.0,+0.5%,0.6x avg
417310,코람코더원리츠,2375,2247,+5.7%,0.1x,7/7,Pivot Setup,,,,,KOSPI,,,,,2380.0,-0.2%,0.1x avg
005320,온타이드,1210,862,+40.3%,0.3x,6/7,Pivot Setup,,,,,KOSPI,,,,,1227.0,-1.4%,0.2x avg
080580,오킨스전자,21650,15463,+40.0%,0.6x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,21900.0,-1.1%,0.5x avg
036800,나이스정보통신,8210,6432,+27.6%,1.2x,7/7,Pivot Setup,,,,,KOSDAQ,,,,,8060.0,+1.9%,0.7x avg
377450,리파인,17200,13628,+26.2%,2.0x,6/7,Pivot Setup,,,,,KOSDAQ,,,,,17080.0,+0.7%,0.7x avg
