ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup
105560,KB금융,161200,153862,+4.8%,1.1x,7/7,VCP,25.2%,11.7%,7.8%,31% of initial,True,KOSPI,,,,,,,
055550,신한지주,98900,95352,+3.7%,1.4x,7/7,VCP + Double Bottom,24.3%,12.5%,5.9%,24% of initial,True,KOSPI,88500.0,87700.0,97900.0,+1.0%,,,
068270,셀트리온,202500,206210,-1.8%,2.1x,6/7,Double Bottom,,,,,,KOSPI,188300.0,193700.0,206000.0,-1.7%,,,
042660,한화오션,129900,128732,+0.9%,1.0x,7/7,Double Bottom,,,,,,KOSPI,118200.0,120100.0,128000.0,+1.5%,,,
316140,우리금융지주,33200,33763,-1.7%,1.5x,6/7,Double Bottom,,,,,,KOSPI,31700.0,31850.0,33600.0,-1.2%,,,
000810,삼성화재,490000,477370,+2.6%,1.4x,6/7,Double Bottom,,,,,,KOSPI,440500.0,456000.0,490000.0,+0.0%,,,
307950,현대오토에버,455500,419360,+8.6%,1.6x,7/7,Double Bottom,,,,,,KOSPI,371500.0,358500.0,434000.0,+5.0%,,,
271560,오리온,140000,133744,+4.7%,0.9x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+1.6%,,,
022100,포스코DX,34900,33015,+5.7%,0.7x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,+3.7%,,,
00680K,미래에셋증권2우B,22700,20526,+10.6%,1.7x,7/7,Double Bottom,,,,,,KOSPI,17942.0,18770.0,21900.0,+3.7%,,,
003540,대신증권,39700,39204,+1.3%,1.6x,7/7,Double Bottom,,,,,,KOSPI,36050.0,35100.0,40700.0,-2.5%,,,
012630,HDC,28150,26560,+6.0%,1.0x,6/7,Double Bottom,,,,,,KOSPI,26100.0,26900.0,27800.0,+1.3%,,,
033240,자화전자,46000,39898,+15.3%,0.7x,7/7,Double Bottom,,,,,,KOSPI,31000.0,32200.0,44400.0,+3.6%,,,
011500,한농화성,23550,22513,+4.6%,0.5x,7/7,Double Bottom,,,,,,KOSPI,19550.0,19350.0,23950.0,-1.7%,,,
006805,미래에셋증권우,24150,22490,+7.4%,1.4x,7/7,Double Bottom,,,,,,KOSPI,19563.0,20000.0,24688.0,-2.2%,,,
004710,한솔테크닉스,9150,6070,+50.7%,1.7x,6/7,Pivot Setup,,,,,,KOSPI,,,,,8940.0,+2.3%,0.8x avg
013580,계룡건설,29000,27182,+6.7%,0.6x,7/7,Double Bottom,,,,,,KOSPI,24200.0,24600.0,29400.0,-1.4%,,,
003610,방림,5690,5391,+5.5%,1.9x,6/7,Double Bottom,,,,,,KOSPI,4945.0,5100.0,5530.0,+2.9%,,,
317400,자이에스앤디,4580,4471,+2.4%,1.0x,7/7,Double Bottom,,,,,,KOSPI,4100.0,4035.0,4570.0,+0.2%,,,
004150,한솔홀딩스,3355,3341,+0.4%,1.4x,6/7,VCP,24.5%,19.4%,8.8%,36% of initial,True,KOSPI,,,,,,,
003475,유안타증권우,4905,4488,+9.3%,1.9x,7/7,Double Bottom,,,,,,KOSPI,4100.0,4090.0,4780.0,+2.6%,,,
012280,영화금속,1062,1058,+0.3%,0.7x,7/7,Double Bottom,,,,,,KOSPI,1011.0,1001.0,1086.0,-2.2%,,,
049800,우진플라임,2690,2681,+0.3%,0.3x,7/7,Double Bottom,,,,,,KOSPI,2325.0,2425.0,2645.0,+1.7%,,,
004105,태양금속우,4085,3970,+2.9%,0.4x,6/7,Double Bottom,,,,,,KOSPI,3735.0,3660.0,3915.0,+4.3%,,,
082920,비츠로셀,59000,38213,+54.4%,0.6x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,59900.0,-1.5%,0.6x avg
