ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
207940,삼성바이오로직스,1518000,3.4x,+10.6%,Effort vs Result,Effort vs Result,bullish
161890,한국콜마,100200,0.4x,+5.6%,No Supply,No Supply,bullish
081660,미스토홀딩스,44450,0.6x,+6.2%,No Supply,No Supply,bullish
002790,아모레퍼시픽홀딩스,24200,0.5x,+2.9%,Testing,Testing,bullish
073240,금호타이어,6130,0.3x,+16.8%,No Supply,No Supply,bullish
006120,SK디스커버리,53000,0.4x,+7.2%,No Supply,No Supply,bullish
002960,한국쉘석유,521000,2.0x,+4.5%,Effort vs Result,Effort vs Result,bullish
002350,넥센타이어,6860,0.6x,+0.7%,No Supply,No Supply,bullish
417310,코람코더원리츠,10880,3.7x,+8.4%,Effort vs Result,Effort vs Result,bullish
004700,조광피혁,64400,0.0x,+4.0%,Testing,Testing,bullish
090435,아모레퍼시픽우,40550,0.3x,+6.0%,Testing,Testing,bullish
002810,삼영무역,22900,2.9x,+11.4%,Effort vs Result,Effort vs Result,bullish
002990,금호건설,10150,0.2x,+38.7%,No Supply,No Supply,bullish
105630,한세실업,9270,0.3x,+3.5%,No Supply,No Supply,bullish
024720,콜마홀딩스,8660,0.3x,+1.1%,No Supply,No Supply + Testing,bullish
003120,일성아이에스,20650,0.1x,+5.0%,Testing,Testing,bullish
007160,사조산업,47000,0.2x,+3.0%,Testing,Testing,bullish
001790,대한제당,2605,0.4x,+2.1%,No Supply,No Supply + Testing,bullish
025560,미래산업,41750,0.0x,+7.1%,Testing,Testing,bullish
034590,인천도시가스,26300,0.1x,+0.6%,Testing,Testing,bullish
036580,팜스코,2630,0.3x,+0.0%,No Supply,No Supply + Testing,bullish
013700,까뮤이앤씨,1380,0.1x,+9.2%,No Supply,No Supply,bullish
111380,동인기연,12650,1.5x,-1.2%,Stopping Volume,Stopping Volume,bullish
155660,DSR,4690,2.1x,+9.1%,Effort vs Result,Effort vs Result,bullish
058730,다스코,3675,0.2x,+7.0%,No Supply,No Supply,bullish
000180,성창기업지주,5310,0.4x,+0.9%,Testing,Testing,bullish
111110,호전실업,6750,0.5x,+0.5%,No Supply,No Supply + Testing,bullish
001210,금호전기,894,0.0x,+16.2%,Testing,Testing,bullish
009320,아진전자부품,966,0.6x,+0.6%,No Supply,No Supply,bullish
003680,한성기업,7570,0.3x,+32.3%,No Supply,No Supply,bullish
011300,우성머티리얼스,2700,0.6x,+8.0%,No Supply,No Supply,bullish
481850,신한글로벌액티브리츠,998,0.5x,+6.0%,No Supply,No Supply,bullish
145270,케이탑리츠,807,0.5x,+4.1%,No Supply,No Supply,bullish
011330,유니켐,3915,2.3x,-8.3%,Effort vs Result,Effort vs Result,bullish
002870,신풍,1000,0.6x,+2.1%,No Supply,No Supply,bullish
004365,세방우,9390,2.4x,+0.2%,Effort vs Result,Effort vs Result,bullish
446070,유니드비티플러스,3075,0.4x,+8.4%,No Supply,No Supply,bullish
002690,동일제강,1535,0.2x,+4.2%,Testing,Testing,bullish
002820,SUN&L,2295,0.1x,+8.7%,Testing,Testing,bullish
025890,한국주강,2240,0.2x,+7.1%,No Supply,No Supply + Testing,bullish
001067,JW중외제약2우B,43500,2.6x,-4.7%,Effort vs Result,Effort vs Result,bullish
004415,서울식품우,6600,8.8x,-16.2%,Effort vs Result,Effort vs Result,bullish
011155,CJ씨푸드1우,6780,7.5x,-28.8%,Effort vs Result,Effort vs Result,bullish
002787,진흥기업2우B,3795,2.6x,-37.8%,Effort vs Result,Effort vs Result,bullish
241710,코스메카코리아,80700,0.4x,+7.4%,No Supply,No Supply,bullish
460930,현대힘스,15950,10.3x,+13.8%,Effort vs Result,Effort vs Result,bullish
078130,국일제지,4045,0.5x,+5.0%,No Supply,No Supply,bullish
219130,타이거일렉,68300,0.3x,+4.4%,No Supply,No Supply,bullish
069080,웹젠,11770,0.6x,+5.0%,No Supply,No Supply,bullish
003800,에이스침대,32550,0.3x,+1.2%,No Supply,No Supply + Testing,bullish
121440,골프존홀딩스,6660,0.2x,+24.5%,Testing,Testing,bullish
036800,나이스정보통신,29700,0.3x,+3.2%,Testing,Testing,bullish
039830,오로라,18890,0.3x,+5.1%,No Supply,No Supply + Testing,bullish
071200,인피니트헬스케어,8300,0.2x,+9.7%,No Supply,No Supply + Testing,bullish
042420,네오위즈홀딩스,23050,0.5x,+6.4%,No Supply,No Supply,bullish
143160,아이디스,15870,0.7x,+2.1%,No Supply,No Supply,bullish
204610,티쓰리,2865,0.5x,+3.6%,No Supply,No Supply,bullish
222040,코스맥스엔비티,7470,0.5x,+3.3%,No Supply,No Supply,bullish
054800,아이디스홀딩스,14720,0.1x,+1.3%,No Supply,No Supply + Testing,bullish
048550,SM C&C,1558,0.3x,+22.2%,No Supply,No Supply + Testing,bullish
001540,안국약품,11480,0.5x,+7.2%,No Supply,No Supply,bullish
040350,크레오에스지,7500,0.3x,+0.3%,No Supply,No Supply + Testing,bullish
067280,멀티캠퍼스,24750,3.6x,+1.5%,Effort vs Result,Effort vs Result,bullish
005990,매일홀딩스,10850,0.4x,+0.5%,Testing,Testing,bullish
095190,신화프리텍,2175,4.2x,+6.3%,Effort vs Result,Effort vs Result,bullish
126640,화신정공,3990,0.4x,+11.9%,No Supply,No Supply,bullish
013990,아가방컴퍼니,4090,0.3x,+0.5%,No Supply,No Supply,bullish
035610,솔본,4720,0.7x,+26.9%,No Supply,No Supply,bullish
333430,일승,4110,11.0x,+7.4%,Effort vs Result,Effort vs Result,bullish
094840,슈프리마에이치큐,12570,0.5x,+11.7%,No Supply,No Supply,bullish
290720,푸드나무,3245,0.7x,+10.8%,No Supply,No Supply,bullish
