ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,range1,range2,range3,contraction,vol_contraction,market,bottom1,bottom2,neckline,dist_from_neckline,box_high,box_range,breakout,pivot_dryup,pivot_price,distance,vol_dryup
105560,KB금융,153600,153350,+0.2%,1.4x,7/7,VCP,25.2%,14.2%,9.9%,39% of initial,True,KOSPI,,,,,,,,,,,
055550,신한지주,96700,95184,+1.6%,1.3x,7/7,VCP + Double Bottom,24.3%,13.4%,7.0%,29% of initial,True,KOSPI,88500.0,87700.0,97900.0,-1.2%,,,,,,,
010140,삼성중공업,31400,29095,+7.9%,1.7x,7/7,Double Bottom,,,,,,KOSPI,23500.0,24450.0,30850.0,+1.8%,,,,,,,
000810,삼성화재,505000,474570,+6.4%,1.0x,6/7,Double Bottom,,,,,,KOSPI,440500.0,456000.0,490000.0,+3.1%,,,,,,,
017670,SK텔레콤,103400,86446,+19.6%,2.3x,7/7,Flat Base Breakout,,,,,,KOSPI,,,,,102600.0,14.0%,+0.8%,False,,,
096770,SK이노베이션,128500,123452,+4.1%,0.9x,7/7,Double Bottom,,,,,,KOSPI,109000.0,105600.0,126500.0,+1.6%,,,,,,,
007660,이수페타시스,128400,123580,+3.9%,1.3x,7/7,Double Bottom,,,,,,KOSPI,98800.0,98000.0,129500.0,-0.8%,,,,,,,
353200,대덕전자,128000,87578,+46.2%,0.8x,7/7,Pivot Setup,,,,,,KOSPI,,,,,,,,,130600.0,-2.0%,0.7x avg
271560,오리온,139100,133858,+3.9%,0.9x,7/7,Double Bottom,,,,,,KOSPI,123600.0,127000.0,137800.0,+0.9%,,,,,,,
022100,포스코DX,34650,32775,+5.7%,2.3x,7/7,Double Bottom,,,,,,KOSPI,28850.0,29450.0,33650.0,+3.0%,,,,,,,
011780,금호석유화학,142400,130994,+8.7%,0.9x,7/7,Double Bottom,,,,,,KOSPI,114100.0,117900.0,136300.0,+4.5%,,,,,,,
457190,이수스페셜티케미컬,103600,103058,+0.5%,0.8x,7/7,Double Bottom,,,,,,KOSPI,85000.0,84700.0,105100.0,-1.4%,,,,,,,
011210,현대위아,93400,83664,+11.6%,2.9x,7/7,Double Bottom,,,,,,KOSPI,78400.0,75000.0,91300.0,+2.3%,,,,,,,
006110,삼아알미늄,79300,46637,+70.0%,0.7x,7/7,Pivot Setup,,,,,,KOSPI,,,,,,,,,80200.0,-1.1%,0.6x avg
417310,코람코더원리츠,10050,9775,+2.8%,0.8x,7/7,VCP,17.4%,9.9%,6.2%,36% of initial,True,KOSPI,,,,,,,,,,,
33637K,솔루스첨단소재1우,2150,2193,-2.0%,0.9x,6/7,Double Bottom,,,,,,KOSPI,1984.0,2060.0,2105.0,+2.1%,,,,,,,
058610,에스피지,135100,120292,+12.3%,2.3x,7/7,Double Bottom,,,,,,KOSDAQ,108400.0,103500.0,135000.0,+0.1%,,,,,,,
005290,동진쎄미켐,56200,52266,+7.5%,1.3x,7/7,Double Bottom,,,,,,KOSDAQ,45150.0,44000.0,55000.0,+2.2%,,,,,,,
036830,솔브레인홀딩스,61000,56841,+7.3%,0.9x,7/7,Double Bottom,,,,,,KOSDAQ,43900.0,45400.0,62400.0,-2.2%,,,,,,,
222080,씨아이에스,15120,13831,+9.3%,0.4x,7/7,Double Bottom,,,,,,KOSDAQ,11180.0,11600.0,15100.0,+0.1%,,,,,,,
104830,원익머트리얼즈,48900,46320,+5.6%,0.7x,7/7,Double Bottom,,,,,,KOSDAQ,40600.0,39950.0,49000.0,-0.2%,,,,,,,
114810,한솔아이원스,16300,15906,+2.5%,0.6x,7/7,Double Bottom,,,,,,KOSDAQ,12870.0,12730.0,15600.0,+4.5%,,,,,,,
110990,디아이티,24450,22105,+10.6%,1.5x,7/7,Double Bottom,,,,,,KOSDAQ,19000.0,18050.0,24550.0,-0.4%,,,,,,,
298830,슈어소프트테크,7750,7325,+5.8%,1.8x,7/7,Double Bottom,,,,,,KOSDAQ,6300.0,6520.0,7580.0,+2.2%,,,,,,,
094360,칩스앤미디어,17950,17045,+5.3%,1.6x,6/7,Double Bottom,,,,,,KOSDAQ,14550.0,15240.0,17270.0,+3.9%,,,,,,,
054210,이랜텍,11710,11013,+6.3%,0.5x,7/7,Double Bottom,,,,,,KOSDAQ,9590.0,9620.0,11540.0,+1.5%,,,,,,,
353810,이지바이오,7220,7384,-2.2%,1.2x,6/7,Double Bottom,,,,,,KOSDAQ,6600.0,6840.0,7220.0,+0.0%,,,,,,,
163730,핑거,23650,12947,+82.7%,0.6x,6/7,Pivot Setup,,,,,,KOSDAQ,,,,,,,,,23100.0,+2.4%,0.4x avg
122990,와이솔,7440,7205,+3.3%,1.2x,7/7,Double Bottom,,,,,,KOSDAQ,6510.0,6240.0,7610.0,-2.2%,,,,,,,
037070,파세코,8990,8714,+3.2%,1.4x,7/7,Double Bottom,,,,,,KOSDAQ,8130.0,8330.0,8740.0,+2.9%,,,,,,,
007820,엠엑스로보틱스,5750,5136,+11.9%,6.9x,7/7,Double Bottom,,,,,,KOSDAQ,4480.0,4500.0,5600.0,+2.7%,,,,,,,
232830,아이티센피엔에스,5210,3269,+59.4%,0.9x,7/7,Pivot Setup,,,,,,KOSDAQ,,,,,,,,,5280.0,-1.3%,0.7x avg
119500,포메탈,4400,4142,+6.2%,2.2x,7/7,Double Bottom,,,,,,KOSDAQ,3845.0,3705.0,4370.0,+0.7%,,,,,,,
