ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
012450,한화에어로스페이스,1454000,0.5x,+5.9%,No Supply,No Supply,bullish
028260,삼성물산,312000,0.6x,+5.0%,No Supply,No Supply,bullish
042700,한미반도체,373500,5.9x,+34.4%,Effort vs Result,Effort vs Result,bullish
079550,LIG디펜스앤에어로스페이스,950000,0.6x,+29.2%,No Supply,No Supply,bullish
000720,현대건설,171400,0.5x,+9.6%,No Supply,No Supply + Testing,bullish
278470,에이피알,449000,0.5x,+31.3%,No Supply,No Supply + Testing,bullish
003550,LG,95500,0.7x,+2.6%,No Supply,No Supply,bullish
018260,삼성에스디에스,169800,0.6x,+2.7%,No Supply,No Supply,bullish
028050,삼성E&A,54300,0.7x,+37.5%,No Supply,No Supply,bullish
003230,삼양식품,1301000,0.6x,+8.5%,No Supply,No Supply,bullish
090430,아모레퍼시픽,150800,2.2x,+8.8%,Effort vs Result,Effort vs Result,bullish
454910,두산로보틱스,101300,2.9x,+10.3%,Effort vs Result,Effort vs Result,bullish
064400,LG씨엔에스,66900,0.6x,+2.7%,No Supply,No Supply,bullish
001040,CJ,219500,0.7x,+8.2%,No Supply,No Supply,bullish
103590,일진전기,109900,2.5x,+36.7%,Effort vs Result,Effort vs Result,bullish
071970,HD현대마린엔진,115500,2.1x,+39.0%,Effort vs Result,Effort vs Result,bullish
375500,DL이앤씨,98300,0.4x,+45.0%,No Supply,No Supply + Testing,bullish
457190,이수스페셜티케미컬,121800,0.6x,+21.9%,No Supply,No Supply,bullish
097950,CJ제일제당,234000,0.5x,+6.8%,No Supply,No Supply,bullish
006360,GS건설,40750,0.3x,+43.7%,No Supply,No Supply + Testing,bullish
004800,효성,204500,4.2x,+35.7%,Effort vs Result,Effort vs Result,bullish
028670,팬오션,5560,0.6x,+5.6%,No Supply,No Supply,bullish
005440,현대지에프홀딩스,15500,2.1x,+6.4%,Effort vs Result,Effort vs Result,bullish
322000,HD현대에너지솔루션,188700,0.5x,+43.6%,No Supply,No Supply,bullish
462870,시프트업,34850,0.6x,+7.8%,No Supply,No Supply,bullish
475150,SK이터닉스,54300,0.2x,+21.3%,No Supply,No Supply + Testing,bullish
100090,SK오션플랜트,23600,0.3x,+5.7%,No Supply,No Supply,bullish
093370,후성,13130,0.3x,+48.1%,Testing,Testing,bullish
330590,롯데리츠,4790,1.6x,+2.1%,Stopping Volume,Stopping Volume,bullish
181710,NHN,41400,0.4x,+7.5%,No Supply,No Supply,bullish
003240,태광산업,1214000,0.5x,+1.9%,No Supply,No Supply,bullish
001510,SK증권,4845,5.4x,+29.5%,Effort vs Result,Effort vs Result,bullish
009450,경동나비엔,75700,2.3x,+16.4%,Effort vs Result,Effort vs Result,bullish
003470,유안타증권,5420,2.8x,+9.1%,Effort vs Result,Effort vs Result,bullish
006650,대한유화,157200,0.7x,+6.0%,No Supply,No Supply,bullish
137310,에스디바이오센서,8440,0.6x,+3.0%,No Supply,No Supply,bullish
