ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
064350,현대로템,120100,1.9x,-35.0%,Stopping Volume,Stopping Volume,bullish
483650,달바글로벌,265000,3.0x,+23.3%,Effort vs Result,Effort vs Result,bullish
001940,KISCO홀딩스,25850,1.8x,+7.7%,Stopping Volume,Stopping Volume,bullish
024090,디씨엠,10920,3.0x,-1.2%,Effort vs Result,Effort vs Result,bullish
005750,대림바스,4100,2.4x,-6.6%,Effort vs Result,Effort vs Result,bullish
009770,삼정펄프,27200,3.1x,+0.9%,Effort vs Result,Effort vs Result,bullish
001560,제일연마,8500,3.0x,-8.6%,Effort vs Result,Effort vs Result,bullish
001210,금호전기,894,0.0x,+15.4%,Testing,Testing,bullish
004920,씨아이테크,1002,3.5x,+2.1%,Effort vs Result,Effort vs Result,bullish
003060,에이프로젠바이오로직스,2025,1.7x,-16.2%,Stopping Volume,Stopping Volume,bullish
000040,KR모터스,1114,5.8x,-26.5%,Effort vs Result,Effort vs Result,bullish
214450,파마리서치,391000,2.3x,+23.4%,Effort vs Result,Effort vs Result,bullish
319400,현대무벡스,23450,4.2x,-19.3%,Effort vs Result,Effort vs Result,bullish
058610,에스피지,81800,5.1x,-8.8%,Effort vs Result,Effort vs Result,bullish
437730,삼현,34250,2.7x,-18.4%,Effort vs Result,Effort vs Result,bullish
448900,한국피아이엠,55800,3.5x,-18.7%,Effort vs Result,Effort vs Result,bullish
121440,골프존홀딩스,6680,2.4x,+22.3%,Stopping Volume,Stopping Volume,bullish
484810,티엑스알로보틱스,13870,6.8x,+15.4%,Effort vs Result,Effort vs Result,bullish
144510,지씨셀,12810,2.5x,-19.5%,Effort vs Result,Effort vs Result,bullish
334970,프레스티지바이오로직스,1786,2.3x,-5.5%,Stopping Volume,Stopping Volume,bullish
051160,지어소프트,7710,2.6x,+5.1%,Effort vs Result,Effort vs Result,bullish
017650,대림제지,9180,2.4x,+2.1%,Effort vs Result,Effort vs Result,bullish
067570,엔브이에이치코리아,1695,3.0x,-6.5%,Effort vs Result,Effort vs Result,bullish
128660,피제이메탈,2600,3.0x,-8.3%,Effort vs Result,Effort vs Result,bullish
052460,아이크래프트,4400,4.6x,+44.8%,Effort vs Result,Effort vs Result,bullish
270520,앱튼,3140,0.4x,+72.5%,No Supply,No Supply + Testing,bullish
291650,압타머사이언스,950,0.0x,+2.0%,Testing,Testing,bullish
127710,아시아경제,1000,0.3x,+2.3%,No Supply,No Supply,bullish
221980,케이디켐,9370,2.3x,-4.6%,Stopping Volume,Stopping Volume,bullish
007530,와이엠,1558,1.7x,-21.0%,Stopping Volume,Stopping Volume,bullish
220180,핸디소프트,1346,2.0x,-12.2%,Effort vs Result,Effort vs Result,bullish
033050,제이엠아이,893,2.6x,+8.6%,Effort vs Result,Effort vs Result,bullish
462310,뉴키즈온,3440,0.7x,+1.0%,No Supply,No Supply,bullish
291230,엔피,588,0.0x,+9.4%,Testing,Testing,bullish
054940,엑사이엔씨,760,0.0x,+11.3%,Testing,Testing,bullish
097780,에코볼트,1222,2.8x,-17.3%,Effort vs Result,Effort vs Result,bullish
222980,한국맥널티,2180,1.7x,+7.9%,Stopping Volume,Stopping Volume,bullish
398120,에스지헬스케어,1939,2.7x,-13.3%,Effort vs Result,Effort vs Result,bullish
397810,애드포러스,4380,2.3x,-12.3%,Effort vs Result,Effort vs Result,bullish
076080,웰크론한텍,997,0.4x,+9.2%,No Supply,No Supply,bullish
241840,에이스토리,2240,2.7x,-20.4%,Effort vs Result,Effort vs Result,bullish
372800,아이티아이즈,2930,0.2x,+0.6%,Testing,Testing,bullish
154030,아시아종묘,1661,2.2x,+0.3%,Effort vs Result,Effort vs Result,bullish
018620,우진비앤지,2880,3.5x,+12.0%,Effort vs Result,Effort vs Result,bullish
009620,삼보산업,987,3.9x,+43.7%,Effort vs Result,Effort vs Result,bullish
900300,오가닉티코스메틱,2025,3.4x,-40.2%,Effort vs Result,Effort vs Result,bullish
469880,하나30호스팩,2115,2.7x,+0.6%,Stopping Volume,Stopping Volume,bullish
008470,부스타,1720,0.1x,+3.1%,No Supply,No Supply + Testing,bullish
479880,한국제15호스팩,2050,2.5x,-0.0%,Stopping Volume,Stopping Volume,bullish
417180,핑거스토리,3850,2.8x,-17.5%,Effort vs Result,Effort vs Result,bullish
481890,엔에이치스팩31호,2080,4.9x,-0.3%,Stopping Volume,Stopping Volume,bullish
0096B0,삼성스팩12호,1976,3.7x,-0.8%,Stopping Volume,Stopping Volume,bullish
471050,대신밸런스제17호스팩,2100,1.8x,+0.3%,Stopping Volume,Stopping Volume,bullish
492220,KB제31호스팩,2005,3.1x,-0.8%,Stopping Volume,Stopping Volume,bullish
482520,교보16호스팩,2030,0.4x,+0.1%,Testing,Testing,bullish
474490,유안타제16호스팩,2060,6.8x,+0.4%,Effort vs Result,Effort vs Result,bullish
0098T0,교보19호스팩,1995,1.8x,-1.0%,Stopping Volume,Stopping Volume,bullish
478110,이베스트스팩6호,2040,4.7x,+0.1%,Effort vs Result,Effort vs Result,bullish
472220,신영스팩10호,2095,3.3x,-1.1%,Stopping Volume,Stopping Volume,bullish
488060,유진스팩11호,2035,11.0x,+0.0%,Effort vs Result,Effort vs Result,bullish
473950,에스케이증권제13호스팩,2035,6.0x,-0.1%,Effort vs Result,Effort vs Result,bullish
473000,에스케이증권제12호스팩,2060,15.8x,+0.3%,Effort vs Result,Effort vs Result,bullish
