ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,217500,192520,+13.0%,0.6x,7/7,Double Bottom + Pivot Setup,172200.0,167200.0,208500.0,+4.3%,220000.0,-1.1%,0.7x avg,KOSPI,,,,,,,,,
000660,SK하이닉스,1223000,970640,+26.0%,0.7x,7/7,Pivot Setup,,,,,1228000.0,-0.4%,0.8x avg,KOSPI,,,,,,,,,
005935,삼성전자우,151300,133318,+13.5%,0.8x,7/7,Double Bottom,114800.0,114000.0,149100.0,+1.5%,,,,KOSPI,,,,,,,,,
105560,KB금융,157400,154472,+1.9%,1.0x,7/7,Double Bottom,137700.0,141900.0,155700.0,+1.1%,,,,KOSPI,,,,,,,,,
055550,신한지주,98600,95448,+3.3%,1.1x,7/7,Double Bottom,88500.0,87700.0,97900.0,+0.7%,,,,KOSPI,,,,,,,,,
042660,한화오션,135000,129328,+4.4%,1.6x,6/7,Flat Base Breakout,,,,,,,,KOSPI,132100.0,14.8%,+2.2%,True,,,,,
006800,미래에셋증권,69100,65390,+5.7%,0.8x,6/7,Double Bottom,61100.0,61500.0,67300.0,+2.7%,,,,KOSPI,,,,,,,,,
086790,하나금융지주,119500,116418,+2.6%,0.9x,7/7,Double Bottom,105500.0,106000.0,114500.0,+4.4%,,,,KOSPI,,,,,,,,,
010140,삼성중공업,31800,28011,+13.5%,2.9x,6/7,Double Bottom,23500.0,24450.0,30850.0,+3.1%,,,,KOSPI,,,,,,,,,
034730,SK,381500,349850,+9.0%,0.8x,6/7,Pivot Setup,,,,,386500.0,-1.3%,0.8x avg,KOSPI,,,,,,,,,
316140,우리금융지주,34900,34493,+1.2%,0.9x,7/7,Double Bottom,31700.0,31850.0,33600.0,+3.9%,,,,KOSPI,,,,,,,,,
278470,에이피알,434000,331180,+31.0%,0.9x,7/7,Pivot Setup,,,,,426000.0,+1.9%,0.6x avg,KOSPI,,,,,,,,,
030200,KT,61800,61484,+0.5%,0.5x,6/7,Double Bottom,57800.0,59100.0,61400.0,+0.7%,,,,KOSPI,,,,,,,,,
010950,S-Oil,114100,114004,+0.1%,0.6x,6/7,Double Bottom,105400.0,105300.0,113300.0,+0.7%,,,,KOSPI,,,,,,,,,
005940,NH투자증권,35600,32921,+8.1%,0.8x,7/7,Double Bottom,28800.0,29600.0,35600.0,+0.0%,,,,KOSPI,,,,,,,,,
066970,엘앤에프,194700,138152,+40.9%,0.6x,7/7,Pivot Setup,,,,,197000.0,-1.2%,0.8x avg,KOSPI,,,,,,,,,
062040,산일전기,208500,156278,+33.4%,0.4x,7/7,Pivot Setup,,,,,209500.0,-0.5%,0.6x avg,KOSPI,,,,,,,,,
454910,두산로보틱스,92900,92322,+0.6%,0.6x,6/7,Double Bottom,80600.0,79500.0,94300.0,-1.5%,,,,KOSPI,,,,,,,,,
271560,오리온,137100,132094,+3.8%,1.0x,7/7,Double Bottom,123600.0,127000.0,137800.0,-0.5%,,,,KOSPI,,,,,,,,,
336260,두산퓨얼셀,48250,39264,+22.9%,2.6x,6/7,Double Bottom,32750.0,33400.0,46250.0,+4.3%,,,,KOSPI,,,,,,,,,
085620,미래에셋생명,18110,14956,+21.1%,1.6x,7/7,Double Bottom,15600.0,16120.0,17910.0,+1.1%,,,,KOSPI,,,,,,,,,
139480,이마트,102500,99822,+2.7%,0.9x,7/7,Double Bottom,88700.0,90100.0,100700.0,+1.8%,,,,KOSPI,,,,,,,,,
017960,한국카본,52200,43418,+20.2%,0.6x,7/7,Pivot Setup,,,,,53000.0,-1.5%,0.7x avg,KOSPI,,,,,,,,,
007810,코리아써키트,95400,66554,+43.3%,0.8x,7/7,Pivot Setup,,,,,93200.0,+2.4%,0.6x avg,KOSPI,,,,,,,,,
294870,IPARK현대산업개발,24300,22278,+9.1%,1.7x,6/7,Double Bottom,20450.0,20200.0,24100.0,+0.8%,,,,KOSPI,,,,,,,,,
030610,교보증권,13780,13029,+5.8%,1.1x,6/7,Double Bottom,11600.0,11400.0,13280.0,+3.8%,,,,KOSPI,,,,,,,,,
181710,NHN,42150,37968,+11.0%,0.8x,7/7,Double Bottom,36800.0,35550.0,41900.0,+0.6%,,,,KOSPI,,,,,,,,,
003470,유안타증권,5040,4920,+2.4%,1.0x,6/7,Double Bottom,4335.0,4420.0,5150.0,-2.1%,,,,KOSPI,,,,,,,,,
033240,자화전자,46250,38793,+19.2%,2.6x,6/7,Double Bottom,31000.0,32200.0,44400.0,+4.2%,,,,KOSPI,,,,,,,,,
003850,보령,9820,9605,+2.2%,1.2x,6/7,Double Bottom,8750.0,9000.0,9660.0,+1.7%,,,,KOSPI,,,,,,,,,
006340,대원전선,6440,5445,+18.3%,0.6x,6/7,Double Bottom,5000.0,4920.0,6520.0,-1.2%,,,,KOSPI,,,,,,,,,
357120,코람코라이프인프라리츠,4800,4592,+4.5%,1.4x,6/7,Double Bottom,4310.0,4470.0,4645.0,+3.3%,,,,KOSPI,,,,,,,,,
009160,SIMPAC,5420,5133,+5.6%,0.6x,7/7,Double Bottom,4800.0,4570.0,5260.0,+3.0%,,,,KOSPI,,,,,,,,,
404990,신한서부티엔디리츠,4695,4304,+9.1%,1.0x,6/7,Double Bottom,4135.0,4085.0,4540.0,+3.4%,,,,KOSPI,,,,,,,,,
013580,계룡건설,29000,26562,+9.2%,0.7x,7/7,Double Bottom,24200.0,24600.0,29400.0,-1.4%,,,,KOSPI,,,,,,,,,
095570,AJ네트웍스,5140,5129,+0.2%,1.8x,7/7,VCP,,,,,,,,KOSPI,,,,,20.6%,13.5%,5.0%,24% of initial,True
317400,자이에스앤디,4780,4454,+7.3%,0.9x,6/7,Double Bottom,4100.0,4035.0,4570.0,+4.6%,,,,KOSPI,,,,,,,,,
025820,이구산업,5380,5222,+3.0%,0.6x,6/7,Double Bottom,4690.0,4685.0,5160.0,+4.3%,,,,KOSPI,,,,,,,,,
004100,태양금속,3640,2980,+22.1%,0.7x,7/7,Pivot Setup,,,,,3650.0,-0.3%,0.8x avg,KOSPI,,,,,,,,,
012280,영화금속,1082,1042,+3.8%,1.1x,6/7,Double Bottom,1011.0,1001.0,1086.0,-0.4%,,,,KOSPI,,,,,,,,,
002690,동일제강,1690,1597,+5.8%,0.2x,6/7,Double Bottom,1446.0,1500.0,1652.0,+2.3%,,,,KOSPI,,,,,,,,,
058470,리노공업,120200,108176,+11.1%,0.8x,6/7,Pivot Setup,,,,,118500.0,+1.4%,0.8x avg,KOSDAQ,,,,,,,,,
108490,로보티즈,276000,260360,+6.0%,1.0x,7/7,Double Bottom,238000.0,233000.0,267000.0,+3.4%,,,,KOSDAQ,,,,,,,,,
098460,고영,33100,29633,+11.7%,1.6x,6/7,Double Bottom,25550.0,24450.0,33100.0,+0.0%,,,,KOSDAQ,,,,,,,,,
080220,제주반도체,46950,43022,+9.1%,1.4x,6/7,Double Bottom,36850.0,35100.0,45900.0,+2.3%,,,,KOSDAQ,,,,,,,,,
036540,SFA반도체,7860,7011,+12.1%,2.5x,6/7,Double Bottom,6030.0,5990.0,7500.0,+4.8%,,,,KOSDAQ,,,,,,,,,
033100,제룡전기,52000,50149,+3.7%,0.9x,6/7,Double Bottom,43000.0,43500.0,50200.0,+3.6%,,,,KOSDAQ,,,,,,,,,
272290,이녹스첨단소재,35650,33502,+6.4%,1.1x,6/7,Double Bottom,27850.0,28650.0,35400.0,+0.7%,,,,KOSDAQ,,,,,,,,,
031330,에스에이엠티,6930,5366,+29.1%,0.8x,7/7,Pivot Setup,,,,,6980.0,-0.7%,0.7x avg,KOSDAQ,,,,,,,,,
033640,네패스,27450,19726,+39.2%,0.8x,7/7,Pivot Setup,,,,,27650.0,-0.7%,0.8x avg,KOSDAQ,,,,,,,,,
138080,오이솔루션,47700,31389,+52.0%,0.5x,7/7,Pivot Setup,,,,,47400.0,+0.6%,0.5x avg,KOSDAQ,,,,,,,,,
354320,알멕,92200,61365,+50.2%,0.9x,7/7,Pivot Setup,,,,,91000.0,+1.3%,0.7x avg,KOSDAQ,,,,,,,,,
039440,에스티아이,36400,33138,+9.8%,2.2x,6/7,Double Bottom,29250.0,28450.0,36800.0,-1.1%,,,,KOSDAQ,,,,,,,,,
298830,슈어소프트테크,7700,7432,+3.6%,2.9x,6/7,Double Bottom,6300.0,6520.0,7580.0,+1.6%,,,,KOSDAQ,,,,,,,,,
265520,AP시스템,23150,21785,+6.3%,1.2x,6/7,Double Bottom,19300.0,19010.0,23800.0,-2.7%,,,,KOSDAQ,,,,,,,,,
160980,싸이맥스,30600,23725,+29.0%,0.6x,7/7,Pivot Setup,,,,,31200.0,-1.9%,0.8x avg,KOSDAQ,,,,,,,,,
067390,아스트,796,773,+2.9%,1.0x,6/7,Double Bottom,733.0,702.0,807.0,-1.4%,,,,KOSDAQ,,,,,,,,,
061970,LB세미콘,5050,4585,+10.1%,1.1x,6/7,Double Bottom,4005.0,3875.0,5000.0,+1.0%,,,,KOSDAQ,,,,,,,,,
126700,하이비젼시스템,19310,17667,+9.3%,1.5x,6/7,Double Bottom,15630.0,15470.0,19020.0,+1.5%,,,,KOSDAQ,,,,,,,,,
017890,한국알콜,13080,11688,+11.9%,0.9x,6/7,Pivot Setup,,,,,12740.0,+2.7%,0.5x avg,KOSDAQ,,,,,,,,,
475580,에이럭스,14030,11466,+22.4%,1.3x,6/7,Double Bottom,12310.0,12080.0,14230.0,-1.4%,,,,KOSDAQ,,,,,,,,,
322180,LS티라유텍,8610,7910,+8.8%,2.1x,6/7,Double Bottom,6890.0,6730.0,8380.0,+2.7%,,,,KOSDAQ,,,,,,,,,
456070,이엔셀,15930,15667,+1.7%,0.9x,6/7,Double Bottom,14600.0,14000.0,16020.0,-0.6%,,,,KOSDAQ,,,,,,,,,
040300,YTN,3455,3355,+3.0%,0.1x,6/7,Double Bottom,3055.0,3010.0,3400.0,+1.6%,,,,KOSDAQ,,,,,,,,,
095190,신화프리텍,2470,2346,+5.2%,0.7x,6/7,Double Bottom,2085.0,2175.0,2380.0,+3.8%,,,,KOSDAQ,,,,,,,,,
250060,모비스,4900,4856,+0.9%,0.7x,6/7,Double Bottom,4050.0,4250.0,5010.0,-2.2%,,,,KOSDAQ,,,,,,,,,
049520,유아이엘,4170,3973,+4.9%,0.5x,7/7,Double Bottom,3705.0,3670.0,4165.0,+0.1%,,,,KOSDAQ,,,,,,,,,
172670,에이엘티,12640,12296,+2.8%,1.4x,6/7,Double Bottom,10430.0,10610.0,12240.0,+3.3%,,,,KOSDAQ,,,,,,,,,
011370,서한,1086,1051,+3.3%,0.8x,6/7,VCP + Double Bottom,1033.0,1009.0,1106.0,-1.8%,,,,KOSDAQ,,,,,34.8%,22.2%,9.5%,27% of initial,True
082210,옵트론텍,2070,2043,+1.3%,2.8x,6/7,Double Bottom,1844.0,1891.0,2130.0,-2.8%,,,,KOSDAQ,,,,,,,,,
198080,캐프,3100,2568,+20.7%,2.3x,6/7,Pivot Setup,,,,,3110.0,-0.3%,0.4x avg,KOSDAQ,,,,,,,,,
094970,제이엠티,3725,3042,+22.4%,0.5x,7/7,Pivot Setup,,,,,3785.0,-1.6%,0.6x avg,KOSDAQ,,,,,,,,,
126640,화신정공,1578,1509,+4.5%,0.9x,6/7,VCP,,,,,,,,KOSDAQ,,,,,28.1%,20.9%,9.2%,33% of initial,True
119500,포메탈,4435,4260,+4.1%,5.5x,6/7,Double Bottom,3845.0,3705.0,4370.0,+1.5%,,,,KOSDAQ,,,,,,,,,
017000,신원종합개발,3305,3133,+5.5%,0.8x,7/7,Double Bottom,2735.0,2865.0,3250.0,+1.7%,,,,KOSDAQ,,,,,,,,,
