ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
034730,SK,526000,1.5x,+32.6%,Stopping Volume,Stopping Volume,bullish
047040,대우건설,26650,0.4x,+11.9%,No Supply,No Supply + Testing,bullish
001440,대한전선,52000,0.3x,+26.4%,No Supply,No Supply,bullish
016360,삼성증권,112700,0.5x,+3.6%,No Supply,No Supply,bullish
028050,삼성E&A,47400,0.5x,+4.4%,No Supply,No Supply,bullish
010060,OCI홀딩스,277500,0.6x,+10.1%,No Supply,No Supply,bullish
103590,일진전기,100100,0.7x,+5.2%,No Supply,No Supply,bullish
011790,SKC,122900,0.4x,+11.1%,No Supply,No Supply,bullish
012510,더존비즈온,120000,0.2x,+0.5%,No Supply,No Supply + Testing,bullish
007340,DN오토모티브,44550,0.4x,+10.6%,No Supply,No Supply,bullish
322000,HD현대에너지솔루션,179000,0.3x,+7.3%,No Supply,No Supply,bullish
006110,삼아알미늄,83100,0.4x,+55.4%,No Supply,No Supply,bullish
093370,후성,11180,0.4x,+7.3%,No Supply,No Supply,bullish
003470,유안타증권,5580,0.3x,+4.4%,No Supply,No Supply,bullish
006340,대원전선,13540,0.1x,+53.8%,No Supply,No Supply,bullish
456040,OCI,111000,0.4x,+2.3%,No Supply,No Supply,bullish
001820,삼화콘덴서,78600,7.1x,+29.5%,Effort vs Result,Effort vs Result,bullish
452260,한화갤러리아,2880,0.2x,+5.3%,No Supply,No Supply,bullish
010820,퍼스텍,10920,0.3x,+3.3%,No Supply,No Supply,bullish
006405,삼성SDI우,288000,0.5x,+9.0%,No Supply,No Supply,bullish
403550,쏘카,12530,0.5x,+1.1%,No Supply,No Supply,bullish
005950,이수화학,14080,4.4x,+56.4%,Effort vs Result,Effort vs Result,bullish
058430,포스코스틸리온,6130,0.2x,+9.1%,No Supply,No Supply,bullish
001230,동국홀딩스,11400,0.0x,+5.8%,Testing,Testing,bullish
078520,에이블씨엔씨,13280,0.4x,+2.1%,No Supply,No Supply,bullish
001250,GS글로벌,3555,0.2x,+2.4%,No Supply,No Supply,bullish
012200,계양전기,8260,0.2x,+14.9%,Testing,Testing,bullish
044820,코스맥스비티아이,19320,0.4x,+11.7%,No Supply,No Supply,bullish
025820,이구산업,5400,0.3x,+0.1%,No Supply,No Supply,bullish
007610,선도전기,8850,0.2x,+71.6%,No Supply,No Supply,bullish
002780,진흥기업,1078,0.1x,+1.8%,No Supply,No Supply,bullish
077500,유니퀘스트,6820,0.2x,+2.2%,No Supply,No Supply + Testing,bullish
012800,대창,1514,0.3x,+2.5%,No Supply,No Supply,bullish
001020,페이퍼코리아,674,0.0x,+2.2%,Testing,Testing,bullish
007460,에이프로젠,4065,0.3x,+262.9%,No Supply,No Supply,bullish
085310,엔케이,1169,0.0x,+3.6%,Testing,Testing,bullish
069730,DSR제강,5310,0.4x,+2.1%,No Supply,No Supply + Testing,bullish
021050,서원,1431,0.2x,+3.1%,No Supply,No Supply + Testing,bullish
025530,SJM홀딩스,3635,1.5x,-1.2%,Stopping Volume,Stopping Volume,bullish
