ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,pivot_price,distance,vol_dryup,market,bottom1,bottom2,neckline,dist_from_neckline
086790,하나금융지주,133600,126586,+5.5%,0.9x,7/7,Pivot Setup,134800.0,-0.9%,0.8x avg,KOSPI,,,,
000810,삼성화재,682000,641180,+6.4%,0.7x,6/7,Pivot Setup,688000.0,-0.9%,0.8x avg,KOSPI,,,,
003490,대한항공,28200,26781,+5.3%,1.2x,6/7,Double Bottom,,,,KOSPI,24650.0,25050.0,27500.0,+2.5%
294870,IPARK현대산업개발,23000,20107,+14.4%,0.6x,6/7,Pivot Setup,23100.0,-0.4%,0.7x avg,KOSPI,,,,
317400,자이에스앤디,11030,6497,+69.8%,0.6x,7/7,Pivot Setup,11080.0,-0.5%,0.8x avg,KOSPI,,,,
041830,인바디,60500,55425,+9.2%,0.6x,7/7,Double Bottom,,,,KOSDAQ,44450.0,46200.0,62000.0,-2.4%
465320,교보15호스팩,2135,2107,+1.3%,1.1x,6/7,Pivot Setup,2135.0,+0.0%,0.3x avg,KOSDAQ,,,,
