ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
012510,더존비즈온,120000,0.4x,+0.2%,No Supply,No Supply + Testing,bullish
001740,SK네트웍스,9690,0.3x,+12.8%,No Supply,No Supply,bullish
002030,아세아,182300,1.6x,-20.0%,Stopping Volume,Stopping Volume,bullish
025620,차AI헬스케어,7500,5.0x,-2.2%,Effort vs Result,Effort vs Result,bullish
009190,대양금속,1975,0.4x,+17.6%,No Supply,No Supply,bullish
000890,보해양조,3040,5.2x,+62.5%,Effort vs Result,Effort vs Result,bullish
026940,부국철강,3755,10.2x,+50.1%,Effort vs Result,Effort vs Result,bullish
012280,영화금속,793,2.9x,-17.7%,Effort vs Result,Effort vs Result,bullish
006570,대림통상,1989,2.4x,+1.7%,Effort vs Result,Effort vs Result,bullish
009810,플레이그램,1760,3.6x,-17.4%,Stopping Volume,Stopping Volume,bullish
004255,NPC우,2075,2.8x,-8.2%,Effort vs Result,Effort vs Result,bullish
036930,주성엔지니어링,184200,0.5x,+14.5%,No Supply,No Supply,bullish
403870,HPSP,53000,0.4x,+0.5%,No Supply,No Supply,bullish
347850,디앤디파마텍,96100,0.6x,+18.0%,No Supply,No Supply,bullish
005710,대원산업,10180,1.6x,-15.8%,Stopping Volume,Stopping Volume,bullish
146320,비씨엔씨,13140,2.4x,-14.1%,Effort vs Result,Effort vs Result,bullish
238090,앤디포스,2800,3.1x,-9.2%,Effort vs Result,Effort vs Result,bullish
043650,국순당,4115,14.1x,+4.9%,Effort vs Result,Effort vs Result,bullish
036090,위지트,1742,2.5x,-5.2%,Effort vs Result,Effort vs Result,bullish
105740,디케이락,6750,1.6x,-24.0%,Stopping Volume,Stopping Volume,bullish
088910,동우팜투테이블,2570,9.0x,+6.9%,Effort vs Result,Effort vs Result,bullish
065170,비엘팜텍,2020,4.6x,-5.5%,Effort vs Result,Effort vs Result,bullish
053950,경남제약,2320,6.7x,-20.6%,Effort vs Result,Effort vs Result,bullish
026910,광진실업,4500,0.6x,+58.1%,No Supply,No Supply,bullish
263920,휴엠앤씨,2965,1.6x,-16.2%,Stopping Volume,Stopping Volume,bullish
034940,조아제약,856,12.2x,+6.2%,Effort vs Result,Effort vs Result,bullish
900310,컬러레이,1910,1.8x,-21.8%,Stopping Volume,Stopping Volume,bullish
142760,모아라이프플러스,560,2.1x,-27.1%,Effort vs Result,Effort vs Result,bullish
303030,지니틱스,2170,12.4x,-23.6%,Effort vs Result,Effort vs Result,bullish
154030,아시아종묘,1620,1.6x,-12.8%,Stopping Volume,Stopping Volume,bullish
900270,헝셩그룹,724,2.4x,-20.5%,Effort vs Result,Effort vs Result,bullish
477380,미래에셋비전스팩4호,2070,2.3x,+0.5%,Effort vs Result,Effort vs Result,bullish
469880,하나30호스팩,2095,3.4x,+0.2%,Stopping Volume,Stopping Volume,bullish
0099W0,미래에셋비전스팩11호,2005,2.3x,+0.2%,Effort vs Result,Effort vs Result,bullish
489480,키움제11호스팩,2040,2.4x,+0.3%,Effort vs Result,Effort vs Result,bullish
0041L0,하나35호스팩,2025,3.9x,+0.9%,Effort vs Result,Effort vs Result,bullish
0091W0,신영스팩11호,2010,4.6x,-2.2%,Stopping Volume,Stopping Volume,bullish
477470,미래에셋비전스팩5호,2100,3.0x,+0.8%,Effort vs Result,Effort vs Result,bullish
0105P0,유진스팩12호,2005,2.7x,+0.1%,Effort vs Result,Effort vs Result,bullish
496070,신한제16호스팩,2010,4.0x,-0.1%,Effort vs Result,Effort vs Result,bullish
486630,KB제30호스팩,2030,3.1x,-1.2%,Stopping Volume,Stopping Volume,bullish
0041B0,교보18호스팩,2080,2.9x,+2.3%,Effort vs Result,Effort vs Result,bullish
466690,키움히어로제1호스팩,2025,3.0x,+0.4%,Effort vs Result,Effort vs Result,bullish
478110,이베스트스팩6호,2045,3.5x,+0.5%,Effort vs Result,Effort vs Result,bullish
474930,신한제13호스팩,2095,3.3x,-0.4%,Effort vs Result,Effort vs Result,bullish
475240,하나32호스팩,2085,3.4x,-0.2%,Stopping Volume,Stopping Volume,bullish
227100,프로브잇,50,12.8x,-91.5%,Effort vs Result,Effort vs Result,bullish
032980,바이온,32,11.5x,-94.5%,Effort vs Result,Effort vs Result,bullish
