ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
003490,대한항공,28350,26120,+8.5%,0.7x,7/7,Double Bottom,24800,23800,27450,+3.3%,KOSPI
383310,에코프로에이치엔,32700,30391,+7.6%,1.3x,6/7,Double Bottom,25700,26750,32300,+1.2%,KOSDAQ
