ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
005930,삼성전자,216000,189418,+14.0%,0.6x,7/7,Double Bottom + Pivot Setup,172200.0,167200.0,208500.0,+3.6%,218000.0,-0.9%,0.7x avg,KOSPI,,,,,,,,,
005935,삼성전자우,146600,131448,+11.5%,0.7x,6/7,Double Bottom + Pivot Setup,114800.0,114000.0,149100.0,-1.7%,149200.0,-1.7%,0.7x avg,KOSPI,,,,,,,,,
373220,LG에너지솔루션,418000,394070,+6.1%,0.8x,6/7,Pivot Setup,,,,,423000.0,-1.2%,0.7x avg,KOSPI,,,,,,,,,
105560,KB금융,162300,153306,+5.9%,0.7x,6/7,Double Bottom,137700.0,141900.0,155700.0,+4.2%,,,,KOSPI,,,,,,,,,
055550,신한지주,99600,94864,+5.0%,0.6x,7/7,Double Bottom + Pivot Setup,88500.0,87700.0,97900.0,+1.7%,101200.0,-1.6%,0.7x avg,KOSPI,,,,,,,,,
042660,한화오션,130000,129850,+0.1%,0.9x,6/7,Pivot Setup,,,,,132100.0,-1.6%,0.7x avg,KOSPI,,,,,,,,,
006800,미래에셋증권,70400,64253,+9.6%,0.7x,6/7,Double Bottom,61100.0,61500.0,67300.0,+4.6%,,,,KOSPI,,,,,,,,,
086790,하나금융지주,123500,115850,+6.6%,0.6x,6/7,Pivot Setup,,,,,124800.0,-1.0%,0.7x avg,KOSPI,,,,,,,,,
316140,우리금융지주,35700,34269,+4.2%,0.6x,6/7,Pivot Setup,,,,,36200.0,-1.4%,0.7x avg,KOSPI,,,,,,,,,
096770,SK이노베이션,129400,118030,+9.6%,0.9x,6/7,Double Bottom,109000.0,105600.0,126500.0,+2.3%,,,,KOSPI,,,,,,,,,
003670,포스코퓨처엠,234500,215078,+9.0%,1.4x,6/7,Pivot Setup,,,,,230000.0,+2.0%,0.7x avg,KOSPI,,,,,,,,,
066570,LG전자,124200,116476,+6.6%,0.7x,6/7,Double Bottom,109000.0,105600.0,120000.0,+3.5%,,,,KOSPI,,,,,,,,,
030200,KT,63900,61134,+4.5%,0.5x,6/7,Double Bottom,57800.0,59100.0,61400.0,+4.1%,,,,KOSPI,,,,,,,,,
010950,S-Oil,117300,113066,+3.7%,0.5x,6/7,Double Bottom,105400.0,105300.0,113300.0,+3.5%,,,,KOSPI,,,,,,,,,
005940,NH투자증권,35300,32396,+9.0%,0.7x,6/7,Double Bottom,28800.0,29600.0,35600.0,-0.8%,,,,KOSPI,,,,,,,,,
011070,LG이노텍,394000,292520,+34.7%,0.8x,7/7,Pivot Setup,,,,,389000.0,+1.3%,0.7x avg,KOSPI,,,,,,,,,
