ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
028050,삼성E&A,50300,0.6x,+4.4%,No Supply,No Supply,bullish
005385,현대차우,295000,2.2x,+15.1%,Effort vs Result,Effort vs Result,bullish
022100,포스코DX,38700,7.9x,+17.8%,Effort vs Result,Effort vs Result,bullish
001040,CJ,183000,2.1x,-8.5%,Effort vs Result,Effort vs Result,bullish
066575,LG전자우,124400,3.9x,+98.4%,Effort vs Result,Effort vs Result,bullish
007070,GS리테일,24750,0.6x,+4.2%,No Supply,No Supply,bullish
161890,한국콜마,85500,0.5x,+0.3%,No Supply,No Supply,bullish
009450,경동나비엔,69000,0.5x,+0.2%,No Supply,No Supply,bullish
248070,솔루엠,19210,0.6x,+0.2%,No Supply,No Supply,bullish
006340,대원전선,11610,0.4x,+17.8%,No Supply,No Supply,bullish
017900,광전자,9600,0.2x,+2.3%,No Supply,No Supply,bullish
005950,이수화학,13250,0.4x,+32.2%,No Supply,No Supply,bullish
005500,삼진제약,19540,0.5x,+1.8%,No Supply,No Supply,bullish
035510,신세계 I&C,17880,2.3x,-7.5%,Effort vs Result,Effort vs Result,bullish
037560,LG헬로비전,2860,13.7x,+25.2%,Effort vs Result,Effort vs Result,bullish
012610,경인양행,4710,0.5x,+0.4%,No Supply,No Supply,bullish
044820,코스맥스비티아이,18000,0.3x,+0.5%,No Supply,No Supply + Testing,bullish
077500,유니퀘스트,7240,0.3x,+5.5%,No Supply,No Supply + Testing,bullish
33626K,두산퓨얼셀1우,9880,0.6x,+9.5%,No Supply,No Supply,bullish
007610,선도전기,7220,0.3x,+20.1%,No Supply,No Supply,bullish
014710,사조씨푸드,7390,3.1x,-1.6%,Effort vs Result,Effort vs Result,bullish
109070,주성코퍼레이션,1632,3.6x,+5.1%,Effort vs Result,Effort vs Result,bullish
35320K,대덕전자1우,38900,0.6x,+43.3%,No Supply,No Supply,bullish
007460,에이프로젠,3610,0.2x,+120.4%,No Supply,No Supply,bullish
092440,기신정기,1990,1.7x,-11.1%,Stopping Volume,Stopping Volume,bullish
003060,에이프로젠바이오로직스,2975,0.2x,+124.5%,No Supply,No Supply,bullish
009140,경인전자,26200,0.2x,+8.1%,No Supply,No Supply + Testing,bullish
005320,온타이드,1127,2.2x,+3.3%,Effort vs Result,Effort vs Result,bullish
006345,대원전선우,12210,0.2x,+32.9%,No Supply,No Supply,bullish
023150,MH에탄올,3910,2.6x,-10.8%,Effort vs Result,Effort vs Result,bullish
025890,한국주강,1922,1.9x,-3.6%,Stopping Volume,Stopping Volume,bullish
000545,흥국화재우,6380,1.7x,-7.2%,Stopping Volume,Stopping Volume,bullish
000145,하이트진로홀딩스우,9700,1.5x,-14.7%,Stopping Volume,Stopping Volume,bullish
108490,로보티즈,402500,3.2x,+40.1%,Effort vs Result,Effort vs Result,bullish
010170,대한광통신,20600,0.5x,+21.0%,No Supply,No Supply,bullish
043260,성호전자,39450,2.5x,-10.1%,Effort vs Result,Effort vs Result,bullish
098460,고영,33850,0.5x,+1.1%,No Supply,No Supply,bullish
397030,에이프릴바이오,60000,0.7x,+1.1%,No Supply,No Supply,bullish
189300,인텔리안테크,124500,1.7x,-8.5%,Stopping Volume,Stopping Volume,bullish
036540,SFA반도체,7930,0.4x,+2.0%,No Supply,No Supply,bullish
388720,유일로보틱스,96400,2.4x,+2.1%,Effort vs Result,Effort vs Result,bullish
033100,제룡전기,58800,0.5x,+0.1%,Testing,Testing,bullish
046890,서울반도체,13800,0.5x,+8.7%,No Supply,No Supply,bullish
037460,삼지전자,44100,0.3x,+28.6%,No Supply,No Supply,bullish
041960,코미팜,7300,1.5x,-15.7%,Stopping Volume,Stopping Volume,bullish
092190,서울바이오시스,11320,0.4x,+44.5%,No Supply,No Supply + Testing,bullish
455900,엔젤로보틱스,31600,6.6x,+13.6%,Effort vs Result,Effort vs Result,bullish
468530,프로티나,37950,1.5x,-34.9%,Stopping Volume,Stopping Volume,bullish
287840,인투셀,26550,1.7x,-29.7%,Stopping Volume,Stopping Volume,bullish
265520,AP시스템,23850,0.5x,+0.7%,No Supply,No Supply,bullish
274090,켄코아에어로스페이스,25100,0.5x,+9.2%,No Supply,No Supply,bullish
041920,메디아나,17480,2.9x,-8.5%,Effort vs Result,Effort vs Result,bullish
203650,드림시큐리티,3170,0.2x,+15.5%,No Supply,No Supply,bullish
194700,노바렉스,15160,0.7x,+2.9%,No Supply,No Supply,bullish
054950,제이브이엠,21900,1.6x,-9.6%,Stopping Volume,Stopping Volume,bullish
125020,티씨머티리얼즈,7010,0.4x,+10.0%,No Supply,No Supply,bullish
149950,아바텍,16390,2.4x,+33.1%,Effort vs Result,Effort vs Result,bullish
192440,슈피겐코리아,34150,2.6x,+25.3%,Effort vs Result,Effort vs Result,bullish
037030,파워넷,6930,0.3x,+5.9%,No Supply,No Supply,bullish
115500,케이씨에스,14690,0.3x,+5.3%,No Supply,No Supply,bullish
377450,리파인,10040,1.6x,-12.5%,Stopping Volume,Stopping Volume,bullish
221800,지구홀딩스,9810,1.5x,-41.5%,Stopping Volume,Stopping Volume,bullish
054800,아이디스홀딩스,14750,1.9x,-6.5%,Stopping Volume,Stopping Volume,bullish
475230,엔알비,13200,1.9x,-31.2%,Stopping Volume,Stopping Volume,bullish
205500,넥써쓰,2170,3.8x,+27.7%,Effort vs Result,Effort vs Result,bullish
331740,아우토크립트,13790,2.8x,-5.8%,Effort vs Result,Effort vs Result,bullish
323350,다원넥스뷰,16320,0.3x,+8.6%,No Supply,No Supply + Testing,bullish
036630,세종텔레콤,12500,2.8x,+22.2%,Effort vs Result,Effort vs Result,bullish
040350,크레오에스지,6130,8.3x,+62.4%,Effort vs Result,Effort vs Result,bullish
052900,KX하이텍,1612,0.4x,+19.3%,No Supply,No Supply,bullish
489460,바이오비쥬,6970,3.2x,-11.7%,Effort vs Result,Effort vs Result,bullish
076610,해성옵틱스,1822,0.2x,+0.6%,No Supply,No Supply,bullish
321260,프로이천,3415,0.3x,+16.5%,No Supply,No Supply,bullish
142280,녹십자엠에스,4200,0.2x,+2.0%,No Supply,No Supply,bullish
039010,현대에이치티,10450,2.0x,+7.9%,Effort vs Result,Effort vs Result,bullish
475430,키스트론,4920,0.2x,+0.2%,No Supply,No Supply + Testing,bullish
067170,오텍,3035,0.3x,+13.2%,No Supply,No Supply,bullish
185490,아이진,1637,0.2x,+6.1%,No Supply,No Supply,bullish
332370,아이디피,5210,5.9x,-0.0%,Stopping Volume,Stopping Volume,bullish
045340,토탈소프트,7640,2.3x,+8.3%,Effort vs Result,Effort vs Result,bullish
305090,마이크로디지탈,2980,3.1x,-46.0%,Stopping Volume,Stopping Volume,bullish
417860,오브젠,11730,10.0x,+25.0%,Effort vs Result,Effort vs Result,bullish
355390,크라우드웍스,3305,6.3x,+12.1%,Effort vs Result,Effort vs Result,bullish
432430,와이랩,3130,3.6x,-1.5%,Effort vs Result,Effort vs Result,bullish
219750,한국비티비,761,13.8x,-8.4%,Effort vs Result,Effort vs Result,bullish
451700,엔에이치스팩29호,3440,0.0x,+15.9%,Testing,Testing,bullish
065650,하이퍼코퍼레이션,2110,0.0x,+3.2%,Testing,Testing,bullish
066910,손오공,680,0.0x,+6.4%,Testing,Testing,bullish
087600,픽셀플러스,5380,3.0x,-10.4%,Effort vs Result,Effort vs Result,bullish
014570,고려제약,3490,2.9x,-11.4%,Effort vs Result,Effort vs Result,bullish
475660,에스켐,4825,4.0x,-6.2%,Effort vs Result,Effort vs Result,bullish
900340,윙입푸드,742,0.0x,+8.6%,Testing,Testing,bullish
045060,오공,2050,4.7x,-12.0%,Effort vs Result,Effort vs Result,bullish
900310,컬러레이,520,0.0x,+2.7%,Testing,Testing,bullish
099390,브레인즈컴퍼니,3965,2.1x,-9.4%,Stopping Volume,Stopping Volume,bullish
038950,파인디지털,3010,9.6x,-9.9%,Stopping Volume,Stopping Volume,bullish
096690,에이루트,6410,2.2x,-11.0%,Effort vs Result,Effort vs Result,bullish
405000,플라즈맵,6560,4.6x,-9.7%,Effort vs Result,Effort vs Result,bullish
353190,휴럼,2740,3.3x,-11.5%,Effort vs Result,Effort vs Result,bullish
188040,바이오포트,4610,2.8x,-20.8%,Effort vs Result,Effort vs Result,bullish
017250,인터엠,1007,1.5x,-6.0%,Stopping Volume,Stopping Volume,bullish
482680,미래에셋비전스팩7호,2055,0.0x,+0.6%,Testing,Testing,bullish
482690,대신밸런스제19호스팩,2160,2.6x,+0.9%,Stopping Volume,Stopping Volume,bullish
467930,IBKS제23호스팩,2105,2.0x,-2.8%,Stopping Volume,Stopping Volume,bullish
487720,키움제10호스팩,2015,3.4x,-1.8%,Stopping Volume,Stopping Volume,bullish
474930,신한제13호스팩,2095,3.3x,-1.0%,Stopping Volume,Stopping Volume,bullish
032685,소프트센우,28600,2.1x,-3.0%,Effort vs Result,Effort vs Result,bullish
