ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
105560,KB금융,168500,163854,+2.8%,1.0x,7/7,Double Bottom,151500,149300,172000,-2.0%,KOSPI
005830,DB손해보험,157000,149494,+5.0%,1.2x,6/7,Double Bottom,136200,131500,153400,+2.3%,KOSPI
003690,코리안리,13770,13453,+2.4%,1.3x,7/7,Double Bottom,12760,12410,14000,-1.6%,KOSPI
053060,세동,1400,1379,+1.5%,0.3x,6/7,Double Bottom,1262,1265,1407,-0.5%,KOSDAQ
