ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
105560,KB금융,171500,0.5x,+4.0%,No Supply,No Supply,bullish
096770,SK이노베이션,108600,0.5x,+0.4%,No Supply,No Supply,bullish
241560,두산밥캣,64000,0.6x,+0.8%,No Supply,No Supply,bullish
051900,LG생활건강,324000,2.9x,+30.2%,Effort vs Result,Effort vs Result,bullish
069960,현대백화점,106400,2.1x,-32.1%,Stopping Volume,Stopping Volume,bullish
005440,현대지에프홀딩스,11830,1.6x,-11.5%,Stopping Volume,Stopping Volume,bullish
475150,SK이터닉스,55000,0.3x,+15.3%,No Supply,No Supply,bullish
023590,다우기술,38600,0.4x,+3.8%,No Supply,No Supply + Testing,bullish
009450,경동나비엔,72000,2.3x,+10.0%,Effort vs Result,Effort vs Result,bullish
006120,SK디스커버리,54300,0.3x,+10.4%,No Supply,No Supply + Testing,bullish
451800,한화리츠,5140,0.5x,+7.7%,Testing,Testing,bullish
002960,한국쉘석유,499500,0.4x,+1.0%,Testing,Testing,bullish
014820,동원시스템즈,21350,0.4x,+6.2%,No Supply,No Supply,bullish
017940,E1,84800,0.4x,+0.1%,No Supply,No Supply,bullish
094800,맵스리얼티,6250,0.5x,+7.2%,No Supply,No Supply + Testing,bullish
003300,한일홀딩스,17630,0.5x,+4.9%,No Supply,No Supply,bullish
001530,DI동일,24250,0.3x,+4.6%,Testing,Testing,bullish
448730,삼성FN리츠,5490,0.4x,+2.0%,No Supply,No Supply + Testing,bullish
003545,대신증권우,20050,0.4x,+0.4%,No Supply,No Supply,bullish
284740,쿠쿠홈시스,21550,3.5x,-0.5%,Effort vs Result,Effort vs Result,bullish
005945,NH투자증권우,25000,0.6x,+1.9%,No Supply,No Supply,bullish
004690,삼천리,119800,0.6x,+2.1%,No Supply,No Supply,bullish
357120,코람코라이프인프라리츠,4250,0.4x,+3.9%,Testing,Testing,bullish
105630,한세실업,9190,0.6x,+4.0%,No Supply,No Supply,bullish
002990,금호건설,9660,0.5x,+18.4%,No Supply,No Supply + Testing,bullish
020000,한섬,16100,1.6x,-24.3%,Stopping Volume,Stopping Volume,bullish
026890,스틱인베스트먼트,8020,0.6x,+8.8%,No Supply,No Supply,bullish
003960,사조대림,30800,0.4x,+9.2%,No Supply,No Supply + Testing,bullish
004430,송원산업,11450,0.6x,+2.9%,No Supply,No Supply,bullish
003120,일성아이에스,20250,2.2x,+2.8%,Stopping Volume,Stopping Volume,bullish
404990,신한서부티엔디리츠,4070,0.5x,+7.3%,No Supply,No Supply,bullish
051905,LG생활건강우,117500,2.5x,+18.4%,Effort vs Result,Effort vs Result,bullish
001460,BYC,38450,2.7x,+11.1%,Effort vs Result,Effort vs Result,bullish
000050,경방,8680,0.3x,+5.3%,No Supply,No Supply + Testing,bullish
053690,한미글로벌,18160,0.5x,+2.4%,No Supply,No Supply,bullish
007860,서연,8060,0.6x,+0.8%,No Supply,No Supply,bullish
016880,웅진,2045,0.5x,+2.9%,No Supply,No Supply + Testing,bullish
460850,동국씨엠,5250,0.4x,+4.6%,Testing,Testing,bullish
000970,한국주철관,6600,0.3x,+0.2%,Testing,Testing,bullish
003830,대한화섬,113100,0.3x,+2.4%,No Supply,No Supply,bullish
