ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,pivot_price,distance,vol_dryup
105560,KB금융,171500,162566,+5.5%,0.7x,7/7,Double Bottom,151500.0,149300.0,172000.0,-0.3%,KOSPI,,,
055550,신한지주,104400,100152,+4.2%,0.8x,7/7,Double Bottom,92600.0,91600.0,107500.0,-2.9%,KOSPI,,,
086790,하나금융지주,132400,122244,+8.3%,1.3x,7/7,Double Bottom,112400.0,109700.0,132000.0,+0.3%,KOSPI,,,
139130,iM금융지주,18250,17669,+3.3%,0.6x,7/7,Double Bottom,16600.0,15830.0,18320.0,-0.4%,KOSPI,,,
003690,코리안리,13950,13400,+4.1%,0.6x,7/7,Double Bottom,12760.0,12410.0,14000.0,-0.4%,KOSPI,,,
121440,골프존홀딩스,6660,5350,+24.5%,0.2x,6/7,Pivot Setup,,,,,KOSDAQ,6710.0,-0.7%,0.5x avg
057540,옴니시스템,880,803,+9.5%,2.6x,6/7,Double Bottom,804.0,802.0,872.0,+0.9%,KOSDAQ,,,
