ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,pivot_price,distance,vol_dryup,market,box_high,box_range,breakout,pivot_dryup,range1,range2,range3,contraction,vol_contraction
067390,아스트,812,767,+5.8%,2.2x,6/7,Double Bottom,733.0,702.0,807.0,+0.6%,,,,KOSDAQ,,,,,,,,,
054210,이랜텍,11690,10534,+11.0%,1.8x,6/7,Double Bottom,9590.0,9620.0,11540.0,+1.3%,,,,KOSDAQ,,,,,,,,,
061970,LB세미콘,4890,4561,+7.2%,1.5x,6/7,Double Bottom,4005.0,3875.0,5000.0,-2.2%,,,,KOSDAQ,,,,,,,,,
017890,한국알콜,12400,11629,+6.6%,0.3x,6/7,Pivot Setup,,,,,12640.0,-1.9%,0.5x avg,KOSDAQ,,,,,,,,,
067000,조이시티,2625,2604,+0.8%,1.0x,6/7,Double Bottom,2330.0,2245.0,2540.0,+3.3%,,,,KOSDAQ,,,,,,,,,
037070,파세코,9110,8351,+9.1%,0.7x,7/7,Double Bottom,8130.0,8330.0,8740.0,+4.2%,,,,KOSDAQ,,,,,,,,,
456070,이엔셀,16050,15710,+2.2%,2.7x,6/7,Double Bottom,14600.0,14000.0,16020.0,+0.2%,,,,KOSDAQ,,,,,,,,,
322180,LS티라유텍,8150,7938,+2.7%,0.8x,6/7,Double Bottom,6890.0,6730.0,8380.0,-2.7%,,,,KOSDAQ,,,,,,,,,
040300,YTN,3490,3358,+3.9%,0.4x,6/7,Double Bottom,3055.0,3010.0,3400.0,+2.6%,,,,KOSDAQ,,,,,,,,,
049520,유아이엘,4205,3962,+6.1%,0.6x,6/7,Double Bottom,3705.0,3670.0,4165.0,+1.0%,,,,KOSDAQ,,,,,,,,,
172670,에이엘티,12750,12404,+2.8%,1.7x,6/7,Double Bottom,10430.0,10610.0,12240.0,+4.2%,,,,KOSDAQ,,,,,,,,,
052900,KX하이텍,1228,1218,+0.8%,0.6x,6/7,Double Bottom,1050.0,1057.0,1258.0,-2.4%,,,,KOSDAQ,,,,,,,,,
010280,아이티센엔텍,1145,1101,+4.0%,0.0x,6/7,Double Bottom,1009.0,995.0,1143.0,+0.2%,,,,KOSDAQ,,,,,,,,,
126640,화신정공,1572,1507,+4.3%,0.9x,6/7,VCP,,,,,,,,KOSDAQ,,,,,28.3%,20.9%,9.2%,33% of initial,True
466910,엔에이치스팩30호,5040,4039,+24.8%,1.3x,7/7,Pivot Setup,,,,,5040.0,+0.0%,0.7x avg,KOSDAQ,,,,,,,,,
900070,글로벌에스엠,589,539,+9.2%,0.8x,6/7,Double Bottom,479.0,499.0,561.0,+5.0%,,,,KOSDAQ,,,,,,,,,
