ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market
105560,KB금융,171000,158492,+7.9%,1.4x,7/7,Double Bottom,151500,149300,172000,-0.6%,KOSPI
055550,신한지주,107300,98590,+8.8%,1.0x,7/7,Double Bottom,92600,91600,107500,-0.2%,KOSPI
161390,한국타이어앤테크놀로지,73000,64960,+12.4%,1.4x,7/7,Double Bottom,59100,59900,73500,-0.7%,KOSPI
139130,iM금융지주,18090,17909,+1.0%,1.1x,6/7,Double Bottom,16600,15830,18320,-1.3%,KOSPI
003690,코리안리,13740,13079,+5.0%,0.7x,6/7,Double Bottom,12760,12410,14000,-1.9%,KOSPI
417310,코람코더원리츠,9930,10052,-1.2%,0.3x,6/7,Double Bottom,9650,9790,10220,-2.8%,KOSPI
