ticker,name,price,vol_ratio,vs_ma50,pattern,patterns,signal
009150,삼성전기,1849000,2.0x,+142.1%,Effort vs Result,Effort vs Result,bullish
373220,LG에너지솔루션,442000,3.3x,+4.8%,Effort vs Result,Effort vs Result,bullish
011070,LG이노텍,1134000,2.2x,+119.2%,Effort vs Result,Effort vs Result,bullish
001440,대한전선,47800,0.4x,+10.2%,No Supply,No Supply,bullish
005830,DB손해보험,141100,1.7x,-15.9%,Stopping Volume,Stopping Volume,bullish
000500,가온전선,341000,0.5x,+50.7%,No Supply,No Supply,bullish
012510,더존비즈온,120000,0.1x,+0.4%,Testing,Testing,bullish
004800,효성,202000,0.4x,+11.1%,No Supply,No Supply,bullish
483650,달바글로벌,202000,0.6x,+4.0%,No Supply,No Supply,bullish
161890,한국콜마,86600,0.6x,+2.4%,No Supply,No Supply,bullish
001820,삼화콘덴서,156200,5.1x,+131.1%,Effort vs Result,Effort vs Result,bullish
181710,NHN,41550,2.4x,+6.3%,Effort vs Result,Effort vs Result,bullish
185750,종근당,79300,1.8x,-7.7%,Stopping Volume,Stopping Volume,bullish
006340,대원전선,12360,0.2x,+28.4%,No Supply,No Supply,bullish
010780,아이에스동서,30150,0.5x,+6.3%,No Supply,No Supply + Testing,bullish
002960,한국쉘석유,501000,0.3x,+0.6%,No Supply,No Supply + Testing,bullish
460860,동국제강,11440,0.3x,+0.8%,No Supply,No Supply,bullish
453340,현대그린푸드,17380,0.7x,+4.1%,No Supply,No Supply,bullish
015860,일진홀딩스,9450,0.5x,+1.0%,No Supply,No Supply + Testing,bullish
417310,코람코더원리츠,9990,0.5x,+0.2%,Testing,Testing,bullish
058430,포스코스틸리온,6040,0.1x,+4.0%,No Supply,No Supply,bullish
001340,PKC,7680,11.4x,+13.0%,Effort vs Result,Effort vs Result,bullish
108670,LX하우시스,34550,0.4x,+5.1%,No Supply,No Supply + Testing,bullish
004430,송원산업,10990,0.2x,+1.4%,No Supply,No Supply,bullish
001630,종근당홀딩스,45200,1.8x,-6.0%,Stopping Volume,Stopping Volume,bullish
007610,선도전기,8430,0.2x,+44.5%,No Supply,No Supply,bullish
020120,키다리스튜디오,3830,0.5x,+5.9%,No Supply,No Supply,bullish
009190,대양금속,2010,2.0x,+40.7%,Effort vs Result,Effort vs Result,bullish
101140,인바이오젠,8080,11.1x,-3.5%,Effort vs Result,Effort vs Result,bullish
002920,유성기업,1790,1.6x,-4.8%,Stopping Volume,Stopping Volume,bullish
003060,에이프로젠바이오로직스,3115,0.2x,+156.8%,No Supply,No Supply,bullish
006740,블루산업개발,589,0.0x,+0.5%,Testing,Testing,bullish
012170,아센디오,1327,13.9x,+4.4%,Effort vs Result,Effort vs Result,bullish
002070,비비안,8540,0.4x,+152.2%,No Supply,No Supply + Testing,bullish
108675,LX하우시스우,16870,0.2x,+1.8%,No Supply,No Supply,bullish
001065,JW중외제약우,25500,2.2x,-2.7%,Effort vs Result,Effort vs Result,bullish
100790,미래에셋벤처투자,53300,0.5x,+22.6%,No Supply,No Supply,bullish
007390,네이처셀,32300,3.7x,+64.5%,Effort vs Result,Effort vs Result,bullish
036540,SFA반도체,9000,0.5x,+16.3%,No Supply,No Supply,bullish
046890,서울반도체,13660,0.3x,+8.3%,No Supply,No Supply,bullish
077360,덕산하이메탈,15410,0.6x,+3.7%,No Supply,No Supply,bullish
092190,서울바이오시스,12030,0.4x,+59.6%,No Supply,No Supply,bullish
243070,휴온스,32600,0.3x,+14.3%,No Supply,No Supply,bullish
416180,신성에스티,34050,3.2x,-2.0%,Effort vs Result,Effort vs Result,bullish
126730,코칩,30800,3.5x,+58.5%,Effort vs Result,Effort vs Result,bullish
950170,JTC,4880,0.5x,+2.3%,No Supply,No Supply + Testing,bullish
024800,유성티엔에스,5980,12.2x,+40.1%,Effort vs Result,Effort vs Result,bullish
149950,아바텍,15680,5.0x,+29.7%,Effort vs Result,Effort vs Result,bullish
138360,앤로보틱스,2765,0.2x,+2.7%,No Supply,No Supply,bullish
052330,코텍,11580,0.5x,+4.5%,Testing,Testing,bullish
123330,제닉,22950,2.0x,-14.1%,Effort vs Result,Effort vs Result,bullish
163730,핑거,17080,0.7x,+12.4%,No Supply,No Supply,bullish
382840,원준,10040,5.3x,+11.0%,Effort vs Result,Effort vs Result,bullish
001540,안국약품,10940,0.5x,+28.7%,No Supply,No Supply,bullish
078890,가온그룹,7230,0.4x,+1.4%,No Supply,No Supply,bullish
