ticker,name,price,ma50,vs_ma50,vol_ratio,trend_score,pattern,bottom1,bottom2,neckline,dist_from_neckline,market,box_high,box_range,breakout,pivot_dryup
105560,KB금융,168800,164470,+2.6%,0.5x,7/7,Double Bottom,151500.0,149300.0,172000.0,-1.9%,KOSPI,,,,
003690,코리안리,13740,13430,+2.3%,0.5x,7/7,Double Bottom,12760.0,12410.0,14000.0,-1.9%,KOSPI,,,,
051160,지어소프트,9270,7389,+25.4%,34.1x,6/7,Flat Base Breakout,,,,,KOSDAQ,7940.0,14.9%,+16.8%,False
339950,아이비김영,3000,2638,+13.7%,3.6x,7/7,Flat Base Breakout,,,,,KOSDAQ,2940.0,13.1%,+2.0%,True
053060,세동,1381,1378,+0.2%,0.4x,6/7,Double Bottom,1262.0,1265.0,1407.0,-1.8%,KOSDAQ,,,,
